run,task,attn,q,ctx,entropy_mean,entropy_min,entropy_max,conc_mean,n_layers,n_heads
bfs_softmax,bfs,softmax,-,_ctx128,2.655379122330083,0.45537909865379333,3.796506404876709,0.6966970554656453,6,6
bfs_stieltjes_q1.0_v3,bfs,stieltjes,1.0,_ctx128,2.3428730832205877,1.8344595432281494,2.4661612510681152,0.3961535319685936,6,6
bfs_stieltjes_q2.0_v3,bfs,stieltjes,2.0,_ctx128,2.0044282989369497,0.5513936281204224,2.505837917327881,0.5601808983418677,6,6
bfs_stieltjes_q4.0_v3,bfs,stieltjes,4.0,_ctx128,0.4925619153202408,0.0076003968715667725,2.2574303150177,0.9437637660238478,6,6
bfs_stieltjes_q8.0_v3,bfs,stieltjes,8.0,_ctx128,nan,nan,nan,nan,6,6
bfs_stieltjes_q16.0_v3,bfs,stieltjes,16.0,_ctx128,0.012208641553621015,0.0007299965363927186,0.031039930880069733,0.9999952581193712,6,6
bfs_stieltjes_q32.0_v3,bfs,stieltjes,32.0,_ctx128,0.004561190318478718,4.035285746795125e-05,0.02882293052971363,0.9999617768658532,6,6
bfs_stieltjes_q64.0_v3,bfs,stieltjes,64.0,_ctx128,0.01801395033786927,0.00014069900498725474,0.1269710808992386,0.9992078112231361,6,6
binary_search_softmax,binary_search,softmax,-,_ctx128,2.008054702439242,0.09296655654907227,3.797184944152832,0.7388861940966712,6,6
binary_search_stieltjes_q1.0_v3,binary_search,stieltjes,1.0,_ctx128,2.454054501321581,2.343519926071167,2.5949273109436035,0.35741552462180454,6,6
binary_search_stieltjes_q2.0_v3,binary_search,stieltjes,2.0,_ctx128,2.1081233562694655,0.24980077147483826,3.592538595199585,0.719951159424252,6,6
binary_search_stieltjes_q4.0_v3,binary_search,stieltjes,4.0,_ctx128,0.21411375370290545,0.042006827890872955,0.5845215320587158,0.9858661211199231,6,6
binary_search_stieltjes_q8.0_v3,binary_search,stieltjes,8.0,_ctx128,0.09596669311738676,0.009400973096489906,0.39195090532302856,0.9957188351286782,6,6
max_softmax,max,softmax,-,_ctx128,2.3684806989298925,1.197932481765747,3.633073329925537,0.7751572330792745,6,6
max_stieltjes_q1.0_v3,max,stieltjes,1.0,_ctx128,3.7500312328338623,3.4817020893096924,3.823775291442871,0.36104168163405526,6,6
max_stieltjes_q2.0_v3,max,stieltjes,2.0,_ctx128,3.207511736287011,1.8886637687683105,3.721494674682617,0.5441452951894866,6,6
max_stieltjes_q4.0_v3,max,stieltjes,4.0,_ctx128,0.6096762406329314,0.09054466336965561,2.614992618560791,0.948955527610249,6,6
max_stieltjes_q8.0_v3,max,stieltjes,8.0,_ctx128,0.026702709660942976,0.0017775979358702898,0.10461372137069702,0.9997696677843729,6,6
max_stieltjes_q16.0_v3,max,stieltjes,16.0,_ctx128,0.04988947875163932,0.0011296485317870975,0.32799455523490906,0.9987139966752794,6,6
sorting_softmax,sorting,softmax,-,_ctx128,2.431031268503931,0.24982911348342896,3.7982921600341797,0.7305911762846841,6,6
sorting_stieltjes_q1.0_v3,sorting,stieltjes,1.0,_ctx128,2.452027234766218,2.320706605911255,2.5568408966064453,0.38386449135012096,6,6
sorting_stieltjes_q2.0_v3,sorting,stieltjes,2.0,_ctx128,2.2102816038661532,1.3416380882263184,2.589982748031616,0.5631965489851104,6,6
sorting_stieltjes_q4.0_v3,sorting,stieltjes,4.0,_ctx128,0.6598951114962498,0.003902656491845846,2.3286030292510986,0.8904861195219888,6,6
sorting_stieltjes_q8.0_v3,sorting,stieltjes,8.0,_ctx128,nan,nan,nan,nan,6,6
sorting_stieltjes_q16.0_v3,sorting,stieltjes,16.0,_ctx128,0.02235008104859541,0.004306018352508545,0.06087441369891167,0.999969772166676,6,6
sorting_stieltjes_q32.0_v3,sorting,stieltjes,32.0,_ctx128,0.019486562497655138,0.003376416163519025,0.1076524555683136,0.9992105199231042,6,6
sorting_stieltjes_q64.0_v3,sorting,stieltjes,64.0,_ctx128,0.04858495892565568,0.00017747195670381188,0.6891974210739136,0.9946350753307343,6,6
