GPU: NVIDIA H100
B=1 H=8 D=64 q=4.0 non-causal; jack=bisection-16 fp32, flashn=NR-20 normalize=True

provider,N,input_mem_mb,fwd_ms,fwd_peak_alloc_mb,fwd_peak_reserved_mb,graph_held_mb,fwdbwd_ms,fwdbwd_peak_alloc_mb,fwdbwd_peak_reserved_mb
jack-stj,1024,6.29,2.24,174.29,190.84,130.15,3.03,348.26,358.61
flashn-fp32,1024,73.40,154.19,75.63,90.18,-4.06,180.46,84.21,90.18
flashn-fp16,1024,70.25,1.88,71.44,73.40,-1.97,2.11,78.87,98.57
jack-stj,2048,79.69,9.06,617.02,627.05,528.74,11.97,1166.28,1184.89
flashn-fp32,2048,79.69,405.84,84.16,90.18,-8.13,477.42,101.32,111.15
flashn-fp16,2048,73.40,3.84,75.77,90.18,-3.93,4.24,90.64,111.15
jack-stj,4096,92.27,33.67,2240.68,2258.63,2131.23,44.47,4412.93,4427.09
flashn-fp32,4096,92.27,1562.32,101.20,111.15,-16.25,1844.36,135.53,153.09
flashn-fp16,4096,79.69,8.27,84.43,90.18,-7.86,9.71,114.16,132.12
jack-stj,8192,117.44,132.04,8709.21,8711.57,8557.43,174.86,17348.69,17351.84
flashn-fp32,8192,117.44,6342.31,135.30,136.31,-32.51,7460.46,203.95,205.52
flashn-fp16,8192,92.27,31.99,101.74,111.15,-15.73,37.87,161.22,184.55
jack-stj,16384,167.77,526.90,34531.18,34533.80,34294.73,698.10,68990.01,68994.20
flashn-fp32,16384,167.77,25058.07,203.49,205.52,-65.01,29477.44,340.79,341.84
flashn-fp16,16384,117.44,127.90,136.38,138.41,-31.46,151.43,255.33,274.73
jack-stj,32768,268.44,OOM,OOM,OOM,,,,
