provider,N,D,H,B,causal,q,fwd_ms,fwd_tflops,fwd_peak_mb,oom
stieltjes_triton,1024,64,8,1,True,4.0,1.0856,0.9891,4.1,0
stieltjes_triton,2048,64,8,1,True,4.0,2.3224,1.8493,8.1,0
stieltjes_triton,4096,64,8,1,True,4.0,7.2501,2.3696,16.3,0
stieltjes_triton,8192,64,8,1,True,4.0,14.3250,4.7972,32.5,0
stieltjes_triton,16384,64,8,1,True,4.0,50.4922,5.4440,65.1,0
stieltjes_triton,32768,64,8,1,True,4.0,200.2904,5.4896,130.1,0
stieltjes_triton,65536,64,8,1,True,4.0,798.1693,5.5102,260.2,0
stieltjes_triton,131072,64,8,1,True,4.0,3580.1228,4.9138,520.5,0
flash_sdpa,1024,64,8,1,True,4.0,0.0375,28.6538,12.2,0
flash_sdpa,2048,64,8,1,True,4.0,0.0827,51.9413,8.1,0
flash_sdpa,4096,64,8,1,True,4.0,0.1895,90.6784,16.1,0
flash_sdpa,8192,64,8,1,True,4.0,0.5827,117.9258,32.3,0
flash_sdpa,16384,64,8,1,True,4.0,2.0546,133.7881,64.5,0
flash_sdpa,32768,64,8,1,True,4.0,7.7655,141.5885,129.0,0
flash_sdpa,65536,64,8,1,True,4.0,29.8132,147.5199,258.0,0
flash_sdpa,131072,64,8,1,True,4.0,119.9780,146.6284,516.0,0
stieltjes_ref,1024,64,8,1,True,4.0,0.9450,1.1362,93.2,0
stieltjes_ref,2048,64,8,1,True,4.0,3.9553,1.0859,342.2,0
stieltjes_ref,4096,64,8,1,True,4.0,14.8775,1.1548,1332.4,0
stieltjes_ref,8192,64,8,1,True,4.0,59.8625,1.1480,5280.6,0
stieltjes_ref,16384,64,8,1,True,4.0,239.5088,1.1477,21049.1,0
stieltjes_ref,32768,64,8,1,True,4.0,OOM,OOM,OOM,1
stieltjes_ref,65536,64,8,1,True,4.0,OOM,OOM,OOM,1
stieltjes_ref,131072,64,8,1,True,4.0,OOM,OOM,OOM,1
naive_softmax,1024,64,8,1,True,4.0,0.2679,4.0079,92.1,0
naive_softmax,2048,64,8,1,True,4.0,1.1563,3.7145,338.1,0
naive_softmax,4096,64,8,1,True,4.0,4.3292,3.9684,1316.1,0
naive_softmax,8192,64,8,1,True,4.0,17.6260,3.8988,5216.1,0
naive_softmax,16384,64,8,1,True,4.0,68.3992,4.0187,20792.1,0
naive_softmax,32768,64,8,1,True,4.0,OOM,OOM,OOM,1
naive_softmax,65536,64,8,1,True,4.0,OOM,OOM,OOM,1
naive_softmax,131072,64,8,1,True,4.0,OOM,OOM,OOM,1
