B,H,N,D,q,causal,fwd_ms_triton,fwd_ms_ref,bwd_ms_triton,bwd_ms_ref,speedup_fwd,speedup_bwd,peak_mb_triton,peak_mb_ref
1,8,128,64,2.0,False,0.1658,0.6654,nan,3.1991,4.012,nan,256.9,266.1
1,8,128,64,2.0,True,0.2143,0.8038,nan,3.4072,3.751,nan,273.1,274.3
1,8,128,64,4.0,False,0.1207,0.6608,nan,3.1811,5.476,nan,273.1,274.3
1,8,128,64,4.0,True,0.1334,0.8071,nan,3.3932,6.050,nan,273.1,274.3
1,8,512,64,2.0,False,0.3172,0.6627,nan,3.1826,2.089,nan,275.8,295.3
1,8,512,64,2.0,True,0.3390,0.8205,nan,3.4061,2.420,nan,275.8,295.8
1,8,512,64,4.0,False,0.3166,0.6623,nan,3.1803,2.092,nan,275.8,295.3
1,8,512,64,4.0,True,0.3409,0.8039,nan,3.4030,2.358,nan,275.8,295.8
1,8,1024,64,2.0,False,0.5780,1.0102,nan,3.5297,1.748,nan,279.3,358.3
1,8,1024,64,2.0,True,0.6147,1.1559,nan,3.7745,1.880,nan,279.3,360.3
1,8,1024,64,4.0,False,0.5766,1.2303,nan,3.7576,2.133,nan,279.3,358.3
1,8,1024,64,4.0,True,0.6164,1.3544,nan,3.9757,2.197,nan,279.3,360.3
1,8,2048,64,2.0,False,1.2144,4.2961,nan,14.0250,3.538,nan,286.4,604.4
1,8,2048,64,2.0,True,1.2877,4.8809,nan,15.0855,3.790,nan,286.4,612.4
1,8,2048,64,4.0,False,1.2141,4.9567,nan,14.7229,4.083,nan,286.4,604.4
1,8,2048,64,4.0,True,1.2935,5.4906,nan,15.6851,4.245,nan,286.4,612.4
1,8,4096,64,2.0,False,4.5081,15.8353,nan,52.7317,3.513,nan,300.5,1576.5
1,8,4096,64,2.0,True,4.7655,18.0925,nan,56.8407,3.797,nan,300.5,1608.5
1,8,4096,64,4.0,False,4.5078,18.5340,nan,55.3839,4.112,nan,300.5,1576.5
1,8,4096,64,4.0,True,4.7843,20.4531,nan,59.3204,4.275,nan,300.5,1608.5
4,8,128,64,2.0,False,0.1233,0.6657,nan,3.1692,5.398,nan,275.8,280.3
4,8,128,64,2.0,True,0.1330,0.8087,nan,3.3999,6.080,nan,275.8,280.3
4,8,128,64,4.0,False,0.1212,0.6677,nan,3.1923,5.511,nan,275.8,280.3
4,8,128,64,4.0,True,0.1339,0.8071,nan,3.3981,6.027,nan,275.8,280.3
4,8,512,64,2.0,False,0.3269,1.0246,nan,3.5640,3.134,nan,286.4,364.4
4,8,512,64,2.0,True,0.3495,1.1678,nan,3.8056,3.341,nan,286.4,364.9
4,8,512,64,4.0,False,0.3260,1.2568,nan,3.8137,3.855,nan,286.4,364.4
4,8,512,64,4.0,True,0.3523,1.3626,nan,4.0028,3.868,nan,286.4,364.9
4,8,1024,64,2.0,False,1.1794,4.2927,nan,14.0616,3.640,nan,300.5,616.5
4,8,1024,64,2.0,True,1.2583,4.8457,nan,15.0897,3.851,nan,300.5,618.5
4,8,1024,64,4.0,False,1.1835,4.9177,nan,14.7150,4.155,nan,300.5,616.5
4,8,1024,64,4.0,True,1.2604,5.4684,nan,15.6798,4.338,nan,300.5,618.5
4,8,2048,64,2.0,False,3.4808,16.0223,nan,52.9309,4.603,nan,328.8,1600.8
4,8,2048,64,2.0,True,3.7044,18.0185,nan,56.8953,4.864,nan,328.8,1608.8
4,8,2048,64,4.0,False,3.5065,18.7390,nan,55.6546,5.344,nan,328.8,1600.8
4,8,2048,64,4.0,True,3.7100,20.4797,nan,59.6420,5.520,nan,328.8,1608.8
1,8,1024,128,2.0,False,0.5583,1.0247,nan,3.5903,1.835,nan,286.3,364.3
1,8,1024,128,2.0,True,0.6602,1.1716,nan,3.8394,1.774,nan,286.3,366.3
1,8,1024,128,4.0,False,0.5586,1.2552,nan,3.8320,2.247,nan,286.3,364.3
1,8,1024,128,4.0,True,0.6669,1.3691,nan,4.0394,2.053,nan,286.3,366.3
1,8,2048,128,2.0,False,1.6327,4.3178,nan,14.1664,2.645,nan,300.4,616.4
1,8,2048,128,2.0,True,1.9250,4.8997,nan,15.1740,2.545,nan,300.4,624.4
1,8,2048,128,4.0,False,1.6425,4.9852,nan,14.7976,3.035,nan,300.4,616.4
1,8,2048,128,4.0,True,1.9340,5.5176,nan,15.7957,2.853,nan,300.4,624.4
