B,H,N,D,q,causal,fwd_ms_triton,fwd_ms_ref,bwd_ms_triton,bwd_ms_ref,speedup_fwd,speedup_bwd,peak_mb_triton,peak_mb_ref
1,8,128,64,2.0,False,0.0910,0.2657,nan,1.4319,2.920,nan,256.9,290.0
1,8,128,64,2.0,True,0.1108,0.3321,nan,1.5734,2.998,nan,320.9,322.0
1,8,128,64,4.0,False,0.0912,0.3057,nan,1.5138,3.351,nan,320.9,322.0
1,8,128,64,4.0,True,0.1107,0.3327,nan,1.5691,3.006,nan,320.9,322.0
1,8,512,64,2.0,False,0.2114,0.2789,nan,1.4347,1.319,nan,323.5,343.0
1,8,512,64,2.0,True,0.2438,0.3295,nan,1.5723,1.351,nan,323.5,343.5
1,8,512,64,4.0,False,0.2116,0.3092,nan,1.4327,1.462,nan,323.5,343.0
1,8,512,64,4.0,True,0.2446,0.3865,nan,1.5637,1.580,nan,323.5,343.5
1,8,1024,64,2.0,False,0.3802,0.5817,nan,2.0561,1.530,nan,327.1,406.1
1,8,1024,64,2.0,True,0.4365,0.6771,nan,2.2071,1.551,nan,327.1,408.1
1,8,1024,64,4.0,False,0.3849,0.6987,nan,2.1742,1.815,nan,327.1,406.1
1,8,1024,64,4.0,True,0.4365,0.7789,nan,2.3100,1.784,nan,327.1,408.1
1,8,2048,64,2.0,False,0.7286,2.5851,nan,8.5516,3.548,nan,334.1,652.1
1,8,2048,64,2.0,True,0.8082,2.9281,nan,9.2490,3.623,nan,334.1,660.1
1,8,2048,64,4.0,False,0.7230,2.7682,nan,8.7593,3.829,nan,334.1,652.1
1,8,2048,64,4.0,True,0.8102,3.1440,nan,9.4455,3.880,nan,334.1,660.1
1,8,4096,64,2.0,False,1.5505,9.4981,nan,31.6559,6.126,nan,348.3,1624.2
1,8,4096,64,2.0,True,1.9603,10.9285,nan,34.4350,5.575,nan,348.3,1656.3
1,8,4096,64,4.0,False,1.5579,10.1949,nan,32.5746,6.544,nan,348.3,1624.2
1,8,4096,64,4.0,True,1.9638,11.7732,nan,35.3452,5.995,nan,348.3,1656.3
4,8,128,64,2.0,False,0.0862,0.2645,nan,1.4407,3.070,nan,323.5,328.0
4,8,128,64,2.0,True,0.1042,0.3295,nan,1.5715,3.164,nan,323.5,328.1
4,8,128,64,4.0,False,0.0861,0.2647,nan,1.4356,3.075,nan,323.5,328.0
4,8,128,64,4.0,True,0.1044,0.3278,nan,1.5674,3.139,nan,323.5,328.1
4,8,512,64,2.0,False,0.2133,0.6012,nan,2.0902,2.819,nan,334.1,412.1
4,8,512,64,2.0,True,0.2463,0.7006,nan,2.2402,2.844,nan,334.1,412.6
4,8,512,64,4.0,False,0.2136,0.7141,nan,2.2188,3.343,nan,334.1,412.1
4,8,512,64,4.0,True,0.2491,0.7875,nan,2.3343,3.162,nan,334.1,412.6
4,8,1024,64,2.0,False,0.4048,2.5932,nan,8.6102,6.406,nan,348.3,664.2
4,8,1024,64,2.0,True,0.4691,2.9615,nan,9.3004,6.313,nan,348.3,666.3
4,8,1024,64,4.0,False,0.3991,2.8546,nan,8.8175,7.152,nan,348.3,664.2
4,8,1024,64,4.0,True,0.4685,3.1760,nan,9.5043,6.778,nan,348.3,666.3
4,8,2048,64,2.0,False,1.5300,9.4614,nan,31.7240,6.184,nan,376.5,1648.5
4,8,2048,64,2.0,True,1.8666,10.8100,nan,34.3409,5.791,nan,376.5,1656.5
4,8,2048,64,4.0,False,1.5251,10.3349,nan,32.6316,6.776,nan,376.5,1648.5
4,8,2048,64,4.0,True,1.9022,11.5542,nan,35.1743,6.074,nan,376.5,1656.5
1,8,1024,128,2.0,False,0.1216,0.5802,nan,2.0640,4.770,nan,334.1,412.1
1,8,1024,128,2.0,True,0.1822,0.6703,nan,2.2149,3.680,nan,334.1,414.1
1,8,1024,128,4.0,False,0.1216,0.6946,nan,2.1736,5.710,nan,334.1,412.1
1,8,1024,128,4.0,True,0.1904,0.7685,nan,2.3228,4.037,nan,334.1,414.1
1,8,2048,128,2.0,False,0.3268,2.5880,nan,8.5668,7.919,nan,348.1,664.1
1,8,2048,128,2.0,True,0.4155,2.9535,nan,9.2625,7.109,nan,348.1,672.1
1,8,2048,128,4.0,False,0.3246,2.8333,nan,8.8099,8.728,nan,348.1,664.1
1,8,2048,128,4.0,True,0.4121,3.1921,nan,9.4932,7.746,nan,348.1,672.1
