epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,0.302857,0.164143,0.751328,17.97
2,0.159267,0.128983,0.796018,17.61
3,0.134143,0.120889,0.807148,17.61
4,0.123287,0.112730,0.817655,17.60
5,0.117654,0.111711,0.819318,17.60
6,0.114343,0.108559,0.823587,17.59
7,0.112004,0.108729,0.822607,17.59
8,0.110128,0.107148,0.825782,17.59
9,0.109312,0.106828,0.824879,17.59
10,0.108437,0.106025,0.827744,17.59
11,0.107615,0.106299,0.827229,17.59
12,0.107064,0.106315,0.826679,17.59
13,0.106173,0.105536,0.828228,17.60
14,0.105986,0.105628,0.827714,17.59
15,0.105601,0.105659,0.828449,17.59
16,0.105306,0.105651,0.827606,17.61
17,0.104438,0.105831,0.827086,17.59
18,0.104803,0.105181,0.828390,17.60
19,0.104183,0.105236,0.828037,17.60
20,0.103397,0.105531,0.827463,17.60
21,0.103847,0.104805,0.828336,17.60
22,0.102975,0.105354,0.827331,17.59
23,0.102917,0.105296,0.827475,17.59
24,0.102619,0.106216,0.827493,17.61
25,0.102444,0.105533,0.827522,17.60
26,0.101496,0.105821,0.827343,17.60
27,0.101673,0.105756,0.827989,17.60
28,0.101035,0.106605,0.826781,17.59
29,0.100615,0.106830,0.826661,17.60
30,0.100006,0.107122,0.826751,17.60
31,0.099514,0.107483,0.825651,17.59
32,0.098813,0.107975,0.826320,17.61
33,0.098333,0.108228,0.826297,17.59
34,0.097446,0.109277,0.824981,17.60
35,0.096656,0.110818,0.822960,17.60
36,0.095948,0.110743,0.823546,17.60
37,0.094871,0.111585,0.824191,17.61
38,0.094043,0.112609,0.823869,17.60
39,0.093304,0.114235,0.823468,17.60
40,0.091917,0.115960,0.821608,17.61
41,0.090938,0.117373,0.821781,17.60
42,0.090077,0.118365,0.821841,17.59
43,0.088931,0.120416,0.820621,17.61
44,0.088040,0.122097,0.820256,17.60
45,0.086965,0.123316,0.820400,17.61
46,0.086053,0.125578,0.820346,17.60
47,0.084858,0.126365,0.819575,17.59
48,0.084089,0.128759,0.818576,17.61
49,0.083238,0.130192,0.818815,17.60
50,0.082439,0.130450,0.818863,17.60
