epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,1.277192,0.805674,0.861420,43.68
2,0.716677,0.638424,0.934940,42.53
3,0.602271,0.570113,0.962940,42.65
4,0.551834,0.520224,0.979080,42.68
5,0.523593,0.506301,0.981700,42.73
6,0.509009,0.495447,0.986120,42.72
7,0.499189,0.491844,0.988360,42.73
8,0.492822,0.485148,0.990400,42.73
9,0.488130,0.485733,0.991280,42.74
10,0.484072,0.484806,0.992340,42.74
11,0.481285,0.486324,0.990900,42.75
12,0.478212,0.481733,0.992000,42.73
13,0.477588,0.480438,0.992900,42.74
14,0.473541,0.487952,0.993420,42.74
15,0.472039,0.480600,0.993300,42.74
16,0.470235,0.478776,0.993300,42.74
17,0.466552,0.480678,0.994280,42.74
18,0.467591,0.483424,0.993920,42.75
19,0.462792,0.485161,0.994040,42.75
20,0.460561,0.482225,0.994260,42.75
21,0.458499,0.483157,0.993620,42.74
22,0.456102,0.487583,0.994520,42.76
23,0.451724,0.488040,0.994800,42.76
24,0.449511,0.490727,0.994260,42.76
25,0.444491,0.491955,0.994500,42.76
26,0.440327,0.500438,0.994680,42.76
27,0.435098,0.500948,0.995240,42.76
28,0.429800,0.510305,0.994840,42.75
29,0.423500,0.515387,0.994380,42.76
30,0.417636,0.525226,0.994120,42.75
31,0.411458,0.526675,0.994540,42.76
32,0.402912,0.542384,0.994640,42.76
33,0.395128,0.551216,0.994320,42.76
34,0.388787,0.557929,0.994660,42.76
35,0.380178,0.574583,0.994820,42.76
36,0.372131,0.578109,0.994080,42.75
37,0.365962,0.601178,0.994660,42.76
38,0.357152,0.610612,0.994060,42.75
39,0.350149,0.625609,0.994720,42.77
40,0.342599,0.641471,0.994300,42.75
41,0.336973,0.660153,0.994360,42.77
42,0.330262,0.665492,0.994800,42.77
43,0.325017,0.677351,0.994060,42.78
44,0.318341,0.689330,0.994160,42.76
45,0.313123,0.709433,0.994440,42.77
46,0.308360,0.721999,0.994020,42.77
47,0.303422,0.723653,0.994080,42.77
48,0.299453,0.751065,0.993960,42.76
49,0.295356,0.756707,0.994500,42.78
50,0.290642,0.764329,0.994760,42.76
