epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,6.412511,5.749486,0.004001,17.28
2,8.232600,nan,0.108261,16.49
3,6.410570,nan,0.109200,16.44
4,5.991214,nan,0.109063,6.93
5,7.010763,nan,0.111807,6.94
6,nan,nan,0.111807,6.94
7,nan,nan,0.111807,6.93
8,nan,nan,0.111807,6.94
9,nan,nan,0.111807,6.93
10,nan,nan,0.111807,6.92
11,nan,nan,0.111807,6.91
12,nan,nan,0.111807,6.92
13,nan,nan,0.111807,6.93
14,nan,nan,0.111807,6.92
15,nan,nan,0.111807,6.94
16,nan,nan,0.111807,6.92
17,nan,nan,0.111807,6.93
18,nan,nan,0.111807,6.92
19,nan,nan,0.111807,6.92
20,nan,nan,0.111807,6.93
21,nan,nan,0.111807,6.91
