epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,1.443633,0.919466,0.802920,26.75
2,0.815906,0.678590,0.894540,26.19
3,0.661394,0.612998,0.931640,26.18
4,0.600276,0.556156,0.949280,26.21
5,0.568940,0.551020,0.958520,26.21
6,0.548677,0.546557,0.963060,26.22
7,0.533831,0.508599,0.969580,26.20
8,0.521524,0.508517,0.970360,26.18
9,0.512368,0.499896,0.975040,26.21
10,0.504628,0.498177,0.977680,26.20
11,0.498986,0.496055,0.980380,26.18
12,0.494370,0.496608,0.980560,26.19
13,0.489978,0.485614,0.984640,26.20
14,0.486152,0.487312,0.986180,26.17
15,0.483394,0.486678,0.987600,26.18
16,0.480496,0.482115,0.988280,26.19
17,0.478501,0.483202,0.987300,26.18
18,0.475864,0.480416,0.989120,26.21
19,0.474008,0.482175,0.989980,26.21
20,0.471910,0.479856,0.990680,26.20
21,0.470483,0.484727,0.990100,26.21
22,0.468561,0.481923,0.991080,26.21
23,0.466833,0.482023,0.990440,26.22
24,0.464840,0.482061,0.990840,26.20
25,0.463789,0.482038,0.990880,26.21
26,0.461295,0.486501,0.991440,26.20
27,0.458750,0.483782,0.991240,26.22
28,0.457768,0.485409,0.992280,26.21
29,0.454544,0.488552,0.991960,26.23
30,0.452143,0.488303,0.991880,26.20
31,0.449775,0.490124,0.992500,26.22
32,0.446600,0.496162,0.992880,26.21
33,0.443598,0.497534,0.992480,26.23
34,0.440075,0.498635,0.992220,26.21
35,0.436059,0.509534,0.992440,26.22
36,0.431998,0.509117,0.992500,26.19
37,0.427857,0.513457,0.992760,26.20
38,0.422632,0.516832,0.992580,26.19
39,0.418027,0.522713,0.993140,26.22
40,0.412949,0.534470,0.992920,26.19
41,0.407057,0.544247,0.992840,26.22
42,0.401581,0.541870,0.992460,26.22
43,0.395244,0.553402,0.992200,26.20
44,0.389933,0.563497,0.992720,26.18
45,0.383173,0.565400,0.992620,26.19
46,0.376123,0.583724,0.991860,26.20
47,0.370960,0.588622,0.992580,26.22
48,0.364208,0.603308,0.992200,26.20
49,0.358353,0.613864,0.992260,26.22
50,0.352514,0.622146,0.992460,26.21
