epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,1.264019,0.869985,0.844125,26.48
2,0.791099,0.687645,0.902938,26.18
3,0.670682,0.624749,0.933074,26.15
4,0.622723,0.589082,0.946123,26.17
5,0.591250,0.564663,0.956335,26.16
6,0.571500,0.542653,0.962030,26.15
7,0.553898,0.530011,0.970144,26.13
8,0.539115,0.522891,0.972102,26.13
9,0.531965,0.526449,0.976459,26.17
10,0.522811,0.509771,0.978737,26.16
11,0.519297,0.512372,0.978577,26.16
12,0.512809,0.510000,0.975080,26.16
13,0.509468,0.500517,0.980476,26.16
14,0.507150,0.515060,0.981775,26.16
15,0.503531,0.500848,0.980955,26.16
16,0.500500,0.496090,0.981295,26.15
17,0.500411,0.500330,0.983633,26.15
18,0.494627,0.494198,0.984892,26.16
19,0.495028,0.493407,0.984992,26.15
20,0.491973,0.497653,0.984852,26.17
21,0.494977,0.495751,0.986771,26.16
22,0.489506,0.496327,0.985352,26.16
23,0.488740,0.492389,0.988309,26.16
24,0.487420,0.502077,0.987290,26.15
25,0.487370,0.490632,0.986231,26.15
26,0.483834,0.491315,0.987170,26.15
27,0.481660,0.487594,0.988249,26.14
28,0.484017,0.489771,0.988070,26.17
29,0.477642,0.492452,0.989049,26.17
30,0.477627,0.493699,0.987710,26.16
