epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,5.637283,nan,0.111807,8.21
2,nan,nan,0.111807,7.63
3,nan,nan,0.111807,7.62
4,nan,nan,0.111807,7.60
5,nan,nan,0.111807,7.60
6,nan,nan,0.111807,7.60
7,nan,nan,0.111807,7.59
8,nan,nan,0.111807,7.59
9,nan,nan,0.111807,7.58
10,nan,nan,0.111807,7.57
11,nan,nan,0.111807,7.60
12,nan,nan,0.111807,7.58
13,nan,nan,0.111807,7.59
14,nan,nan,0.111807,7.59
15,nan,nan,0.111807,7.59
16,nan,nan,0.111807,7.59
17,nan,nan,0.111807,7.58
18,nan,nan,0.111807,7.57
19,nan,nan,0.111807,7.57
20,nan,nan,0.111807,7.59
21,nan,nan,0.111807,7.58
22,nan,nan,0.111807,7.58
23,nan,nan,0.111807,7.58
24,nan,nan,0.111807,7.59
25,nan,nan,0.111807,7.58
26,nan,nan,0.111807,7.58
27,nan,nan,0.111807,7.57
28,nan,nan,0.111807,7.58
29,nan,nan,0.111807,7.58
30,nan,nan,0.111807,7.58
31,nan,nan,0.111807,7.58
32,nan,nan,0.111807,7.58
33,nan,nan,0.111807,7.58
34,nan,nan,0.111807,7.59
35,nan,nan,0.111807,7.58
36,nan,nan,0.111807,7.57
37,nan,nan,0.111807,7.56
38,nan,nan,0.111807,7.58
39,nan,nan,0.111807,7.60
40,nan,nan,0.111807,7.59
41,nan,nan,0.111807,7.59
42,nan,nan,0.111807,7.59
43,nan,nan,0.111807,7.59
44,nan,nan,0.111807,7.60
45,nan,nan,0.111807,7.57
46,nan,nan,0.111807,7.56
47,nan,nan,0.111807,7.58
48,nan,nan,0.111807,7.58
49,nan,nan,0.111807,7.59
50,nan,nan,0.111807,7.60
