epoch,q,train_loss,val_loss,val_accuracy,epoch_time_s
1,1.0000,2.426147,2.255372,0.641600,57.38
2,1.0000,2.223255,2.188749,0.769400,56.18
3,1.0000,2.177087,2.165733,0.826200,56.31
4,1.0000,2.151512,2.145934,0.868800,56.36
5,1.0000,2.135830,2.149015,0.861000,56.37
6,1.0000,2.121730,2.137088,0.899000,56.39
7,1.0000,2.110865,2.136346,0.911800,56.36
8,1.0000,2.098286,2.126530,0.947800,56.36
9,1.0000,2.087234,2.128754,0.955000,56.35
10,1.0000,2.073165,2.139226,0.954000,56.34
11,1.0000,2.057626,2.139552,0.953200,56.30
12,1.0000,2.041554,2.153569,0.946600,56.31
13,2.0000,2.109517,2.158456,0.923400,56.66
14,2.0000,2.045263,2.155179,0.953600,56.66
15,2.0000,2.018254,2.164622,0.966000,56.66
16,2.0000,1.997434,2.180223,0.968000,56.66
17,2.0000,1.981045,2.193375,0.981800,56.66
18,2.0000,1.963235,2.205753,0.974800,56.67
19,2.0000,1.951520,2.226051,0.976000,56.66
20,2.0000,1.941300,2.238011,0.983000,56.66
21,2.0000,1.930993,2.254680,0.984200,56.67
22,2.0000,1.927056,2.259598,0.988800,56.68
23,2.0000,1.919403,2.281391,0.988000,56.68
24,2.0000,1.911834,2.288247,0.986400,56.69
25,4.0000,1.960814,2.272653,0.974600,57.00
26,4.0000,1.927811,2.280377,0.986400,57.01
27,4.0000,1.917813,2.293100,0.987200,56.99
28,4.0000,1.911301,2.303630,0.986600,57.01
29,4.0000,1.907311,2.316705,0.989800,57.02
30,4.0000,1.902374,2.320362,0.984000,57.01
31,4.0000,1.897793,2.329607,0.992400,57.01
32,4.0000,1.892690,2.334087,0.993000,56.99
33,4.0000,1.887710,2.345533,0.992400,56.98
34,4.0000,1.882230,2.356035,0.993000,56.94
35,4.0000,1.874398,2.358165,0.989800,56.93
36,4.0000,1.870005,2.369517,0.993600,56.93
37,8.0000,3.874084,3.345908,0.103600,56.92
38,8.0000,3.308958,3.154684,0.117600,56.90
39,8.0000,3.102208,3.022369,0.124600,56.88
40,8.0000,2.989888,2.931744,0.124400,56.88
41,8.0000,2.940716,2.937256,0.127800,56.90
42,8.0000,2.943630,2.893257,0.138800,56.89
43,8.0000,2.901377,2.933296,0.156200,56.87
44,8.0000,2.921184,2.862021,0.153400,56.85
45,8.0000,2.841306,2.778007,0.162400,56.84
46,8.0000,2.824870,2.761025,0.159400,56.83
47,8.0000,2.817378,2.733227,0.210200,56.82
48,8.0000,2.741347,2.682710,0.208200,56.81
49,8.0000,2.692707,2.625456,0.224600,56.80
50,8.0000,2.632436,2.579088,0.267000,56.81
