epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,0.264133,0.231769,0.291245,17.86
2,0.228785,0.222601,0.315375,17.61
3,0.222660,0.219740,0.319793,17.60
4,0.220126,0.217924,0.323321,17.59
5,0.218561,0.217919,0.323705,17.59
6,0.217533,0.217381,0.326650,17.58
7,0.216566,0.217358,0.329534,17.59
8,0.215737,0.216630,0.327433,17.58
9,0.214925,0.216794,0.327816,17.59
10,0.214328,0.217228,0.324272,17.58
11,0.213175,0.216823,0.330086,17.59
12,0.212007,0.217803,0.328414,17.58
13,0.210861,0.218237,0.328828,17.59
14,0.209624,0.218553,0.329611,17.58
15,0.208180,0.219551,0.327264,17.58
16,0.206708,0.220563,0.327310,17.59
17,0.205310,0.221737,0.328123,17.58
18,0.203861,0.222819,0.328261,17.58
19,0.202234,0.224595,0.327049,17.59
20,0.200969,0.226116,0.327709,17.58
21,0.199881,0.227447,0.326113,17.59
22,0.198718,0.228820,0.326190,17.58
23,0.197786,0.230117,0.325239,17.58
24,0.197268,0.231284,0.325239,17.59
25,0.196463,0.232515,0.328384,17.58
26,0.195853,0.233096,0.325132,17.58
27,0.195426,0.233807,0.325883,17.59
28,0.194541,0.235069,0.323981,17.58
29,0.193854,0.236327,0.322877,17.59
30,0.193001,0.237659,0.322033,17.59
31,0.192300,0.238645,0.320437,17.58
32,0.191463,0.239128,0.321404,17.59
33,0.190719,0.240060,0.318903,17.58
34,0.189321,0.241154,0.320085,17.58
35,0.188087,0.243665,0.318750,17.59
36,0.186817,0.243974,0.316296,17.58
37,0.185281,0.246143,0.317630,17.58
38,0.183503,0.247205,0.314025,17.59
39,0.181641,0.249456,0.313795,17.58
40,0.179771,0.252140,0.313550,17.59
41,0.177699,0.253491,0.309561,17.58
42,0.175380,0.256162,0.308672,17.58
43,0.172982,0.259263,0.307797,17.59
44,0.170513,0.263042,0.306141,17.58
45,0.167880,0.264370,0.304591,17.58
46,0.165501,0.266540,0.306018,17.59
47,0.162835,0.271096,0.305619,17.58
48,0.160140,0.274374,0.302520,17.59
49,0.157715,0.277511,0.304300,17.58
50,0.155052,0.281859,0.302582,17.58
