epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.407433,2.239889,0.667600,43.89
2,2.203624,2.171745,0.847200,42.70
3,2.154226,2.145132,0.923400,42.96
4,2.130128,2.126051,0.956400,43.06
5,2.117064,2.127055,0.979400,43.11
6,2.106326,2.122431,0.984600,43.12
7,2.096622,2.124854,0.985600,43.15
8,2.086405,2.115607,0.997800,43.15
9,2.077018,2.120068,0.998400,43.17
10,2.064702,2.132329,0.997600,43.16
11,2.051100,2.130955,0.999200,43.14
12,2.035265,2.141413,0.998400,43.12
13,2.017186,2.153987,0.998800,43.13
14,1.999731,2.162153,0.999600,43.12
15,1.979384,2.182685,0.997200,43.11
16,1.961297,2.198745,1.000000,43.12
17,1.945217,2.214893,0.999800,43.13
18,1.931290,2.231246,0.998800,43.11
19,1.922293,2.247890,0.999600,43.11
20,1.911771,2.260406,0.999800,43.11
21,1.903305,2.278155,0.998000,43.11
22,1.895949,2.292151,1.000000,43.09
23,1.887503,2.301628,0.999400,43.11
24,1.878133,2.314784,0.999600,43.09
25,1.867803,2.323996,1.000000,43.10
26,1.856417,2.336897,0.999600,43.10
27,1.844041,2.357961,0.999600,43.11
28,1.828911,2.369806,0.999000,43.10
29,1.811584,2.389039,0.999800,43.09
30,1.793268,2.412092,1.000000,43.08
31,1.770475,2.434319,0.999800,43.09
32,1.745921,2.459190,0.999000,43.08
33,1.717308,2.498523,0.999800,43.09
34,1.685709,2.544552,0.999600,43.06
35,1.652354,2.581605,0.999600,43.07
36,1.622174,2.615815,1.000000,43.06
37,1.589182,2.659439,0.999200,43.09
38,1.555948,2.704902,0.999800,43.08
39,1.525183,2.738085,0.999800,43.09
40,1.492719,2.790631,0.999000,43.09
41,1.464149,2.828912,0.999000,43.19
42,1.432942,2.875176,0.999200,43.18
43,1.404844,2.921199,0.998400,43.17
44,1.378557,2.963767,0.999400,43.16
45,1.352057,3.019440,0.999000,43.15
46,1.328265,3.081797,0.999200,43.14
47,1.302939,3.111326,0.998600,43.13
48,1.280034,3.163183,0.999200,43.12
49,1.260151,3.211542,0.999400,43.11
50,1.238934,3.256763,0.999200,43.10
