epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,1.186730,1.136995,0.069200,251.57
2,1.113139,1.125068,0.116200,249.65
3,1.104596,1.121488,0.138800,249.66
4,1.097605,1.119975,0.131200,249.65
5,1.092389,1.116933,0.167800,249.64
6,1.090054,1.113480,0.222400,249.31
7,1.087936,1.113925,0.217000,249.34
8,1.085104,1.112467,0.236800,249.35
9,1.081676,1.111733,0.251600,249.31
10,1.079287,1.111232,0.259000,249.30
11,1.078940,1.112954,0.274400,249.33
12,1.076102,1.111876,0.288400,249.26
13,1.073313,1.112303,0.293400,249.35
14,1.070142,1.112217,0.319800,249.30
15,1.065976,1.115426,0.304400,249.23
16,1.062813,1.115550,0.320800,249.26
17,1.060978,1.117875,0.317600,249.30
18,1.055991,1.119422,0.313000,249.26
19,1.052697,1.121768,0.329000,249.29
20,1.051267,1.124276,0.337200,249.35
21,1.045358,1.127977,0.321600,249.27
22,1.041698,1.131614,0.336600,249.27
23,1.036972,1.132957,0.344000,249.36
24,1.032705,1.137146,0.310600,249.10
25,1.027092,1.139476,0.353800,249.02
26,1.023351,1.144194,0.357400,248.97
27,1.017682,1.148536,0.342400,248.89
28,1.012538,1.152481,0.343000,248.91
29,1.007767,1.156122,0.342200,248.94
30,1.000867,1.160272,0.355200,248.91
