epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.426147,2.255372,0.641600,57.24
2,2.223255,2.188749,0.769400,56.12
3,2.177087,2.165733,0.826200,56.28
4,2.151512,2.145934,0.868800,56.38
5,2.135830,2.149015,0.861000,56.46
6,2.121730,2.137088,0.899000,56.48
7,2.110865,2.136346,0.911800,56.50
8,2.098286,2.126530,0.947800,56.50
9,2.087234,2.128754,0.955000,56.51
10,2.073165,2.139226,0.954000,56.52
11,2.057626,2.139552,0.953200,56.51
12,2.041554,2.153569,0.946600,56.50
13,2.022170,2.158462,0.967000,56.51
14,2.003570,2.173227,0.978600,56.51
15,1.984530,2.186045,0.979200,56.52
16,1.968846,2.201512,0.979400,56.52
17,1.953554,2.217516,0.986400,56.51
18,1.941390,2.234113,0.976400,56.52
19,1.931686,2.249761,0.983000,56.52
20,1.924969,2.262250,0.989200,56.52
21,1.918729,2.283253,0.958200,56.51
22,1.911952,2.293072,0.978000,56.52
23,1.905603,2.300950,0.986000,56.53
24,1.899670,2.302029,0.984200,56.52
25,1.892287,2.320011,0.978000,56.52
26,1.882534,2.326211,0.983400,56.52
27,1.874601,2.329936,0.990200,56.53
28,1.863191,2.349006,0.988600,56.53
29,1.852036,2.373602,0.982400,56.53
30,1.837042,2.388915,0.988800,56.52
31,1.820465,2.408117,0.983000,56.53
32,1.802067,2.428152,0.985000,56.51
33,1.779968,2.469252,0.984200,56.52
34,1.755917,2.482629,0.981400,56.52
35,1.727401,2.510879,0.984800,56.53
36,1.698825,2.551602,0.985800,56.53
37,1.668069,2.589657,0.987200,56.53
38,1.637736,2.629202,0.978000,56.52
39,1.608043,2.666054,0.985200,56.52
40,1.578414,2.713340,0.982000,56.52
41,1.550859,2.753989,0.973600,56.54
42,1.521005,2.797911,0.987800,56.52
43,1.495180,2.844417,0.985600,56.53
44,1.469170,2.902009,0.985800,56.52
45,1.443735,2.930624,0.980400,56.53
46,1.419990,2.972731,0.981600,56.55
47,1.395652,3.027210,0.972400,56.54
48,1.373771,3.075573,0.985400,56.53
49,1.352311,3.111523,0.976800,56.52
50,1.331857,3.161290,0.982000,56.51
