epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,1.193464,1.149950,0.015800,776.78
2,1.127747,1.139783,0.027000,776.26
3,1.115404,1.126456,0.079800,776.27
4,1.103509,1.122485,0.114200,777.16
5,1.096860,1.119910,0.117000,777.80
6,1.094086,1.117728,0.146800,776.71
7,1.091697,1.116489,0.166800,776.70
8,1.088967,1.114127,0.164200,776.46
9,1.085958,1.112057,0.212000,777.29
10,1.084041,1.113778,0.183000,776.68
11,1.084431,1.113184,0.205200,776.71
12,1.082375,1.113381,0.194600,775.93
13,1.080493,1.111057,0.214400,775.83
14,1.078402,1.110511,0.250400,775.86
15,1.075574,1.111684,0.248200,775.93
16,1.073624,1.111474,0.257200,775.90
17,1.073207,1.113793,0.226800,775.87
18,1.069559,1.112844,0.260400,776.51
19,1.067875,1.114121,0.246000,776.43
20,1.068076,1.115748,0.253800,777.72
21,1.063625,1.119127,0.225600,777.38
22,1.061583,1.119206,0.273800,777.57
23,1.058559,1.120993,0.260200,776.55
24,1.055794,1.121859,0.270800,776.02
25,1.051710,1.123649,0.252200,775.94
26,1.049526,1.126492,0.265600,775.92
27,1.045323,1.128476,0.261400,776.12
