epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,3.585253,3.531735,0.050800,28.01
2,3.534266,3.519304,0.000600,26.51
3,3.536086,3.511958,0.000000,26.51
4,3.569558,3.569556,0.000000,26.49
5,3.601878,3.647142,0.000000,26.49
6,3.635246,3.630710,0.000000,26.49
7,3.627707,3.579963,0.000000,26.48
8,3.598740,3.596143,0.000000,26.49
9,3.624969,3.599080,0.000000,26.49
10,3.608845,3.575576,0.000000,26.48
11,3.608573,3.580375,0.000000,26.48
12,3.621847,3.577807,0.000000,26.48
13,3.610513,3.569577,0.000000,26.48
14,3.602754,3.560665,0.000000,26.48
15,3.592199,3.564791,0.000000,26.48
16,3.587674,3.534015,0.000000,26.48
17,3.569112,3.524354,0.000000,26.48
18,3.564586,3.545156,0.000000,26.48
19,3.572424,3.529457,0.000000,26.48
20,3.580960,3.556111,0.000000,26.49
21,3.551528,3.516920,0.000000,26.48
22,3.550061,3.508028,0.000000,26.48
23,3.537664,3.481388,0.000000,26.47
24,3.543834,3.506308,0.000000,26.48
25,3.562536,3.555746,0.000000,26.47
26,3.562863,3.521783,0.000000,26.48
27,3.546086,3.505492,0.000200,26.47
28,3.530373,3.486213,0.000000,26.48
29,3.523531,3.488553,0.000000,26.47
30,3.515572,3.577536,0.000400,26.48
31,3.530084,3.487644,0.000000,26.48
32,3.524935,3.495769,0.000000,26.49
33,3.508290,3.456305,0.000000,26.47
34,3.476116,3.444933,0.000200,26.49
35,3.470369,3.457154,0.000400,26.48
36,3.439196,3.385708,0.002400,26.49
37,3.414346,3.362217,0.012400,26.48
38,3.356892,3.285987,0.033800,26.49
39,3.286830,3.225573,0.044200,26.48
40,3.251978,3.203862,0.053800,26.49
41,3.217331,3.192960,0.055200,26.48
42,3.207228,3.152498,0.071200,26.48
43,3.189393,3.160546,0.078200,26.48
44,3.209160,3.150600,0.073400,26.48
45,3.186259,3.125326,0.077800,26.47
46,3.159014,3.113888,0.077400,26.46
47,3.135155,3.115165,0.080800,26.46
48,3.172043,3.142345,0.070000,26.45
49,3.180385,3.167712,0.074800,26.46
50,3.182412,3.124393,0.071400,26.45
