epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.417371,2.264795,0.601000,83.73
2,2.214300,2.152640,0.979000,83.79
3,2.144189,2.135182,0.999000,83.94
4,2.123914,2.121362,0.997600,84.00
5,2.117264,2.122141,0.999800,84.04
6,2.108373,2.117268,0.999600,84.05
7,2.102372,2.124299,0.998000,84.03
8,2.096435,2.112640,0.998600,84.05
9,2.086015,2.115392,0.999200,84.06
10,2.077492,2.123840,0.999800,84.04
11,2.066257,2.120580,0.999600,84.04
12,2.054361,2.129026,0.999600,84.04
13,2.041244,2.138646,0.999800,84.06
14,2.027033,2.140964,0.999400,84.04
15,2.012462,2.155241,0.997600,84.04
16,1.996539,2.169112,1.000000,84.04
17,1.981606,2.183007,0.999800,84.04
18,1.968530,2.189115,1.000000,84.05
19,1.955735,2.209420,0.999800,84.05
20,1.946440,2.227461,0.999800,84.05
21,1.938310,2.246335,1.000000,84.06
22,1.933686,2.250838,0.999200,84.04
23,1.928046,2.268828,0.999800,84.05
24,1.924386,2.270892,0.999400,84.04
25,1.920648,2.283188,0.999000,84.07
26,1.918210,2.292696,0.992400,84.05
27,1.917136,2.301001,0.993000,84.05
28,1.915305,2.306372,1.000000,84.05
29,1.911228,2.307877,0.999600,84.06
30,1.908884,2.323934,1.000000,84.05
31,1.906904,2.328602,1.000000,84.06
32,1.905127,2.325722,1.000000,84.06
33,1.903594,2.340794,0.999800,84.05
34,1.901405,2.341850,1.000000,84.06
35,1.899511,2.344925,1.000000,84.06
36,1.897740,2.346575,1.000000,84.05
37,1.895247,2.357069,1.000000,84.05
38,1.892434,2.361852,1.000000,84.05
39,1.890402,2.357553,1.000000,84.06
40,1.888323,2.362304,1.000000,84.07
41,1.884748,2.372701,0.999000,84.05
42,1.882341,2.375870,1.000000,84.07
43,1.878828,2.382735,1.000000,84.06
44,1.876808,2.377178,1.000000,84.07
45,1.870777,2.381013,1.000000,84.06
46,1.866475,2.389083,0.999800,84.07
47,1.861999,2.409713,1.000000,84.07
48,1.856524,2.402994,1.000000,84.08
49,1.850678,2.417578,1.000000,84.07
50,1.843615,2.422517,1.000000,84.07
