epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.422873,2.245185,0.808200,59.01
2,2.206099,2.165862,0.966600,56.51
3,2.158003,2.144653,0.982800,56.56
4,2.141762,2.139144,0.985600,56.55
5,2.129365,2.136391,0.996600,56.50
6,2.128985,2.130764,0.997000,56.51
7,2.121085,2.127449,0.996600,56.43
8,2.112585,2.122150,0.999200,56.52
9,2.110635,2.119500,0.998800,56.51
10,2.105809,2.126120,0.996600,56.50
11,2.101351,2.118659,0.996000,56.50
12,2.091423,2.125222,0.994000,56.46
13,2.087285,2.124207,0.999600,56.42
14,2.082072,2.120291,1.000000,56.45
15,2.070781,2.129411,0.992800,56.48
16,2.064301,2.130574,0.996400,56.46
17,2.054583,2.133269,0.999400,56.45
18,2.043968,2.137600,0.997600,56.48
19,2.036712,2.142293,0.999600,56.47
20,2.024856,2.154179,0.996600,56.46
21,2.015978,2.162850,0.999600,56.45
22,2.005427,2.168409,1.000000,56.45
23,1.995525,2.181713,0.999000,56.31
24,1.985056,2.187316,0.999200,56.34
25,1.978024,2.195265,0.999000,56.41
26,1.966957,2.211713,0.995200,56.44
27,1.959348,2.220454,0.995000,56.44
28,1.954341,2.230901,0.999600,56.48
29,1.948312,2.247633,1.000000,56.50
30,1.944880,2.247950,0.999600,56.51
