epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.426352,2.275252,0.618800,28.51
2,2.226374,2.179739,0.949200,26.13
3,2.162168,2.145939,0.996400,26.05
4,2.144213,2.139263,0.987000,26.04
5,2.135268,2.129854,0.997200,26.04
6,2.128710,2.128356,0.995800,26.05
7,2.119775,2.127462,0.999800,26.05
8,2.114664,2.127011,0.991200,26.04
9,2.111529,2.119944,0.993000,26.05
10,2.104808,2.123263,0.997200,26.04
11,2.098190,2.122355,0.997200,26.04
12,2.093887,2.127802,0.984600,26.04
13,2.095778,2.132588,0.978000,26.04
14,2.089882,2.127128,0.983000,26.03
15,2.082627,2.129565,0.979600,26.04
16,2.076614,2.132982,0.987000,26.03
17,2.066661,2.140943,0.979000,26.13
18,2.056722,2.138338,0.989400,26.13
19,2.046576,2.141947,0.981800,26.13
20,2.037323,2.148248,0.992200,26.12
21,2.027114,2.149067,0.997000,26.13
22,2.019123,2.163629,0.990400,26.12
23,2.007946,2.164787,0.997400,26.13
24,1.997159,2.175892,0.997200,26.14
25,1.985607,2.186772,0.998800,26.14
26,1.976375,2.196647,0.999600,26.13
27,1.969790,2.204885,0.979800,26.14
28,1.966973,2.226695,0.991600,26.13
29,1.958858,2.222216,0.997000,26.14
30,1.958655,2.252417,0.905800,26.13
