epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.548776,2.424835,0.347600,57.26
2,2.421019,2.398567,0.391000,56.34
3,2.455141,2.438479,0.334800,56.46
4,2.449342,2.433702,0.335400,56.50
5,2.492663,2.506655,0.286800,56.52
6,2.546309,2.543612,0.288600,56.52
7,2.603494,2.549457,0.298600,56.53
8,2.588977,2.531684,0.285800,56.54
9,2.625807,2.592925,0.254600,56.55
10,2.639103,2.622007,0.261200,56.54
11,2.649493,2.582008,0.250000,56.54
12,2.639511,2.596256,0.281800,56.55
13,2.649749,2.584588,0.250600,56.55
14,2.606438,2.546605,0.278000,56.55
15,2.563864,2.519720,0.280600,56.55
16,2.575790,2.556086,0.275600,56.57
17,2.559948,2.510169,0.301200,56.57
18,2.540144,2.491968,0.302800,56.56
19,2.556835,2.542388,0.282400,56.55
20,2.565772,2.532126,0.271200,56.56
21,2.566293,2.531297,0.271800,56.53
22,2.574621,2.518093,0.272400,56.52
23,2.576404,2.578640,0.254200,56.54
24,2.604587,2.526892,0.285000,56.53
25,2.570929,2.532221,0.284400,56.52
26,2.563518,2.509161,0.304200,56.51
27,2.557830,2.489422,0.312600,56.51
28,2.536650,2.495351,0.319000,56.52
29,2.526023,2.536988,0.262600,56.52
30,2.536545,2.479910,0.318400,56.53
31,2.514265,2.471599,0.323000,56.52
32,2.490459,2.446832,0.334400,56.54
33,2.469883,2.434350,0.345200,56.53
34,2.457809,2.418996,0.369000,56.53
35,2.456600,2.434283,0.369200,56.53
36,2.451182,2.411146,0.390800,56.54
37,2.451576,2.419954,0.360400,56.53
38,2.436194,2.401698,0.400600,56.52
39,2.426761,2.396867,0.399600,56.52
40,2.421510,2.395018,0.398000,56.53
41,2.421915,2.395450,0.409000,56.53
42,2.431558,2.390565,0.416600,56.61
43,2.429256,2.385283,0.413600,56.60
44,2.421413,2.386411,0.406600,56.58
45,2.424462,2.398844,0.403800,56.58
46,2.423899,2.384471,0.400000,56.58
47,2.414214,2.381459,0.398400,56.59
48,2.409693,2.379777,0.413600,56.58
49,2.412281,2.392982,0.390200,56.56
50,2.429086,2.385130,0.397000,56.56
