 B  H      N   D     dtype C   q      max_abs    max_rel   mean_abs argmax_agree   ref_mean
 1  6    128  64   float32 0 4.0      1.58525 55305.77734    0.03525       0.9909    0.19281
 1  6    256  64   float32 0 4.0      0.64703  155.95126    0.01431       0.9915    0.11834
 4  6    128  64   float32 0 4.0      1.87015 55305.77734    0.03831       0.9906    0.19790
 4  6   2048  64   float32 0 4.0      0.26428  543.60870    0.00016       0.9982    0.02224
 1  6   2048  64   float32 0 4.0      0.04536  196.73981    0.00015       0.9981    0.02204
 4  6   2048  64  bfloat16 0 4.0      0.26172  979.72327    0.00032       0.9875    0.02223
 1  6   2048  64  bfloat16 0 4.0      0.05078  731.94171    0.00031       0.9874    0.02203
 1  6   2048  64   float16 0 4.0      0.04541  902.65631    0.00017       0.9971    0.02203
 1  6   2048  64   float32 0 2.0      0.00007   19.86397    0.00001       0.9999    0.01712
 4  6   2048  64   float32 1 4.0      6.67434 11282.94434    0.03797       0.9755    0.06717
 4  6   2048  64  bfloat16 1 4.0      6.65625 31109.88086    0.03832       0.9685    0.06715
