N,q,init_name,init_value,iteration,mean_rel_error,max_rel_error,mean_abs_f
256,1.0,n^(1/q),256.000000,0,0.0110736666,0.0214198921,0.0108277593
256,1.0,n^(1/q),256.000000,1,0.0001244356,0.0004491828,0.0001230327
256,1.0,n^(1/q),256.000000,2,0.0000000288,0.0000002425,0.0000000360
256,1.0,n^(1/q),256.000000,3,0.0000000096,0.0000001815,0.0000000094
256,1.0,n^(1/q),256.000000,4,0.0000000011,0.0000001210,0.0000000065
256,1.0,n^(1/q),256.000000,5,0.0000000055,0.0000001212,0.0000000064
256,1.0,n^(1/q),256.000000,6,0.0000000010,0.0000001211,0.0000000065
256,1.0,n^(1/q),256.000000,7,0.0000000065,0.0000001212,0.0000000064
256,1.0,n^(1/q),256.000000,8,0.0000000000,0.0000000000,0.0000000064
256,1.0,n^(1/q),256.000000,9,0.0000000065,0.0000001212,0.0000000065
256,1.0,eps=0.1,0.100000,0,0.9996050596,0.9996067882,118.1273574829
256,1.0,eps=0.1,0.100000,1,0.9969872832,0.9982069135,80.2706069946
256,1.0,eps=0.1,0.100000,2,0.9862840176,0.9929611087,41.8451461792
256,1.0,eps=0.1,0.100000,3,0.9634181857,0.9810934067,20.8483123779
256,1.0,eps=0.1,0.100000,4,0.9186660051,0.9568372965,10.2006931305
256,1.0,eps=0.1,0.100000,5,0.8351625204,0.9096446633,4.8649430275
256,1.0,eps=0.1,0.100000,6,0.6905634999,0.8219128251,2.2066774368
256,1.0,eps=0.1,0.100000,7,0.4732897580,0.6709285378,0.9006255865
256,1.0,eps=0.1,0.100000,8,0.2245183736,0.4470422566,0.2913334072
256,1.0,eps=0.1,0.100000,9,0.0524876304,0.1984627247,0.0554882586
256,1.0,eps=1.0,1.000000,0,0.9960504770,0.9960682988,73.4169845581
256,1.0,eps=1.0,1.000000,1,0.9839752913,0.9879850149,37.7289886475
256,1.0,eps=1.0,1.000000,2,0.9587730169,0.9707164168,18.7382507324
256,1.0,eps=1.0,1.000000,3,0.9097626209,0.9364187717,9.1403236389
256,1.0,eps=1.0,1.000000,4,0.8190044165,0.8711003661,4.3352260590
256,1.0,eps=1.0,1.000000,5,0.6640160084,0.7536753416,1.9441328049
256,1.0,eps=1.0,1.000000,6,0.4373874366,0.5641259551,0.7740223408
256,1.0,eps=1.0,1.000000,7,0.1913389713,0.3160382807,0.2363716662
256,1.0,eps=1.0,1.000000,8,0.0377415158,0.0991876125,0.0390487947
256,1.0,eps=1.0,1.000000,9,0.0016286050,0.0097699268,0.0016168565
256,1.0,n^(1/q)/2,128.000000,0,0.4944631755,0.4967396855,0.9572204947
256,1.0,n^(1/q)/2,128.000000,1,0.2418335080,0.2451599985,0.3144000173
256,1.0,n^(1/q)/2,128.000000,2,0.0578482188,0.0597153530,0.0606903359
256,1.0,n^(1/q)/2,128.000000,3,0.0033105444,0.0035428444,0.0032852837
256,1.0,n^(1/q)/2,128.000000,4,0.0000108355,0.0000124253,0.0000107324
256,1.0,n^(1/q)/2,128.000000,5,0.0000000459,0.0000001817,0.0000000255
256,1.0,n^(1/q)/2,128.000000,6,0.0000000309,0.0000001816,0.0000000083
256,1.0,n^(1/q)/2,128.000000,7,0.0000000286,0.0000001812,0.0000000065
