epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.274592,4.150699,0.303000,3.81
2,4.135908,4.126183,0.455500,3.46
3,4.122756,4.121004,0.465500,3.46
4,4.119088,4.117292,0.484500,3.46
5,4.117216,4.116833,0.481000,3.45
6,4.116025,4.115434,0.481000,3.45
7,4.114927,4.114797,0.490000,3.45
8,4.114049,4.114222,0.490000,3.45
9,4.113438,4.113451,0.491250,3.46
10,4.112690,4.112595,0.489750,3.45
11,4.112085,4.112654,0.494750,3.45
12,4.111644,4.112360,0.501250,3.45
13,4.111486,4.111518,0.498000,3.46
14,4.111130,4.112016,0.501500,3.45
15,4.110884,4.110951,0.500500,3.45
16,4.110605,4.110918,0.500500,3.45
17,4.110541,4.111160,0.501000,3.45
18,4.110361,4.110375,0.502000,3.45
19,4.110181,4.111093,0.502250,3.45
20,4.110117,4.110983,0.496000,3.45
21,4.110086,4.110172,0.495000,3.45
22,4.109787,4.110627,0.504500,3.45
23,4.109761,4.110609,0.505250,3.45
24,4.109544,4.111084,0.503250,3.45
25,4.109549,4.110315,0.506250,3.44
26,4.109518,4.110470,0.507750,3.45
27,4.109314,4.110239,0.506250,3.45
28,4.109288,4.110474,0.506000,3.45
29,4.109185,4.110388,0.509000,3.45
30,4.109107,4.110552,0.508250,3.45
31,4.108959,4.110190,0.507250,3.45
32,4.108896,4.110209,0.507500,3.45
33,4.108924,4.110003,0.508500,3.45
34,4.108889,4.110374,0.502750,3.45
35,4.108678,4.110093,0.509000,3.45
36,4.108702,4.109560,0.508750,3.44
37,4.108656,4.110103,0.507750,3.44
38,4.108573,4.110060,0.508750,3.44
39,4.108555,4.110017,0.510250,3.45
40,4.108535,4.109820,0.509500,3.45
41,4.108451,4.109931,0.510250,3.45
42,4.108441,4.110327,0.509000,3.45
43,4.108331,4.109869,0.511750,3.45
44,4.108242,4.109553,0.509750,3.44
45,4.108283,4.110079,0.509250,3.44
46,4.108266,4.109848,0.510750,3.44
47,4.108225,4.110095,0.511250,3.45
48,4.108208,4.109780,0.510500,3.45
49,4.108144,4.109277,0.510000,3.45
50,4.108048,4.109232,0.510250,3.45
