epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.274270,4.153199,0.301250,5.18
2,4.147043,4.142915,0.301750,4.79
3,4.136637,4.131250,0.388000,4.78
4,4.128750,4.126045,0.412750,4.79
5,4.125337,4.129749,0.358250,4.79
6,4.123010,4.124650,0.432500,4.78
7,4.121684,4.121480,0.457750,4.79
8,4.120316,4.120897,0.449250,4.79
9,4.118790,4.119934,0.450500,4.78
10,4.115677,4.114962,0.472000,4.77
11,4.113561,4.113728,0.466000,4.78
12,4.112241,4.120174,0.386000,4.79
13,4.111444,4.113045,0.445000,4.78
14,4.110761,4.113166,0.462250,4.78
15,4.109992,4.115917,0.417250,4.79
16,4.109478,4.113123,0.483750,4.79
17,4.109086,4.110290,0.477750,4.79
18,4.108696,4.110371,0.486500,4.78
19,4.108172,4.109721,0.484000,4.77
20,4.107967,4.109426,0.485750,4.77
21,4.107813,4.108525,0.486750,4.78
22,4.107246,4.109369,0.473750,4.77
23,4.106986,4.108242,0.481500,4.77
24,4.106696,4.111928,0.439500,4.78
25,4.106688,4.109074,0.473250,4.78
26,4.106396,4.107329,0.500750,4.78
27,4.106215,4.107781,0.496500,4.79
28,4.106141,4.107716,0.485250,4.78
29,4.105868,4.106768,0.495750,4.77
30,4.105743,4.108033,0.487000,4.77
31,4.105566,4.106773,0.503000,4.78
32,4.105379,4.106350,0.502500,4.78
33,4.105331,4.105699,0.504000,4.78
34,4.105199,4.107590,0.494750,4.77
35,4.104990,4.106937,0.502250,4.77
36,4.104923,4.106877,0.502500,4.77
37,4.104835,4.106754,0.501000,4.77
38,4.104761,4.106313,0.505000,4.77
39,4.104647,4.106000,0.507500,4.77
40,4.104490,4.106941,0.500500,4.77
41,4.104401,4.105566,0.507500,4.77
42,4.104412,4.107248,0.482750,4.77
43,4.104119,4.105084,0.508500,4.77
44,4.103907,4.105394,0.509000,4.77
45,4.103947,4.105554,0.509250,4.77
46,4.103788,4.105544,0.511000,4.77
47,4.103827,4.105119,0.510500,4.78
48,4.103701,4.105607,0.501750,4.78
49,4.103549,4.104884,0.513750,4.77
50,4.103406,4.104954,0.511000,4.77
