epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.202316,4.128637,0.438750,4.61
2,4.123946,4.116694,0.477500,3.53
3,4.117231,4.114944,0.501500,3.52
4,4.113994,4.112487,0.513250,3.51
5,4.111656,4.109778,0.511500,3.52
6,4.109781,4.108777,0.513500,3.53
7,4.108255,4.108428,0.513000,3.52
8,4.107465,4.107237,0.512000,3.52
9,4.106567,4.107526,0.511500,3.52
10,4.106059,4.106862,0.518250,3.52
11,4.105502,4.106219,0.516000,3.52
12,4.105095,4.106945,0.516000,3.52
13,4.104805,4.105260,0.516250,3.52
14,4.104431,4.105797,0.514500,3.52
15,4.104269,4.106447,0.514250,3.52
16,4.104151,4.105788,0.517000,3.52
17,4.103779,4.105336,0.514500,3.52
18,4.103551,4.105811,0.516500,3.52
19,4.103372,4.106054,0.518500,3.52
20,4.103352,4.106051,0.517750,3.52
21,4.103177,4.105762,0.518000,3.52
22,4.102966,4.105781,0.518500,3.52
23,4.102874,4.105449,0.515250,3.52
24,4.102557,4.105620,0.518000,3.51
25,4.102528,4.106281,0.520250,3.52
26,4.102363,4.105641,0.516000,3.52
27,4.102347,4.106583,0.519500,3.51
28,4.102313,4.106421,0.521250,3.52
29,4.102214,4.106545,0.521000,3.51
30,4.102067,4.105058,0.515750,3.52
