epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.718891,4.302946,0.289250,3.97
2,4.238541,4.206949,0.289250,3.44
3,4.197639,4.187484,0.289250,3.43
4,4.187941,4.185830,0.289250,3.43
5,4.181587,4.171526,0.289250,3.43
6,4.163286,4.153033,0.299250,3.44
7,4.149077,4.143645,0.294500,3.43
8,4.143409,4.142512,0.297500,3.42
9,4.140626,4.141032,0.298500,3.42
10,4.138954,4.133639,0.295750,3.43
11,4.137402,4.133085,0.300750,3.43
12,4.134995,4.131585,0.394500,3.42
13,4.132757,4.128947,0.390000,3.43
14,4.131246,4.128304,0.394000,3.43
15,4.130210,4.127262,0.396500,3.43
16,4.129527,4.126253,0.395750,3.43
17,4.128929,4.124928,0.395000,3.42
18,4.128223,4.126100,0.397000,3.42
19,4.127605,4.124308,0.396000,3.43
20,4.126994,4.123769,0.440750,3.42
21,4.126377,4.124947,0.447750,3.43
22,4.125940,4.124126,0.442000,3.43
23,4.125422,4.122598,0.445000,3.42
24,4.125015,4.123682,0.445000,3.42
25,4.124601,4.122238,0.442250,3.44
26,4.124432,4.121654,0.436250,3.42
27,4.124149,4.121732,0.441750,3.43
28,4.124150,4.123306,0.442250,3.44
29,4.123879,4.122990,0.438500,3.44
30,4.123643,4.122146,0.443000,3.42
