epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.166759,4.159693,1.000000,40.69
2,4.159203,4.160574,1.000000,40.36
3,4.158821,4.158319,1.000000,40.35
4,4.158668,4.159204,1.000000,40.35
5,4.158581,4.158721,1.000000,40.32
6,4.158480,4.159252,1.000000,40.37
7,4.158372,4.159646,1.000000,40.41
8,4.158239,4.158964,1.000000,40.49
9,4.158243,4.159299,1.000000,40.44
10,4.158102,4.159424,1.000000,40.45
11,4.158123,4.161112,1.000000,40.46
12,4.158120,4.158370,1.000000,40.42
13,4.158131,4.160574,1.000000,40.39
14,4.158180,4.159761,1.000000,40.37
15,4.158190,4.157528,1.000000,40.36
16,4.158181,4.158942,1.000000,40.37
17,4.158181,4.159514,1.000000,40.30
18,4.158225,4.159012,1.000000,40.30
19,4.158299,4.159924,1.000000,40.28
20,4.158220,4.160931,1.000000,40.28
21,4.158266,4.159287,1.000000,40.30
22,4.158273,4.159486,1.000000,40.28
23,4.158283,4.160933,1.000000,40.28
24,4.158292,4.157460,1.000000,40.28
25,4.158280,4.158474,1.000000,40.28
26,4.158293,4.158391,1.000000,40.30
27,4.158329,4.158501,1.000000,40.28
28,4.158300,4.161398,1.000000,40.21
29,4.158343,4.158775,1.000000,40.28
30,4.158344,4.158336,1.000000,40.27
