epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.163392,4.159934,0.999000,230.41
2,4.159367,4.158367,0.999000,230.64
3,4.159181,4.156830,0.999000,231.78
4,4.159081,4.160944,0.999000,232.50
5,4.159065,4.159797,0.999000,233.13
6,4.158920,4.159192,0.999000,233.32
7,4.158722,4.159530,0.999000,233.82
8,4.158608,4.160001,0.999000,233.96
9,4.158462,4.159594,0.999000,233.48
10,4.158383,4.159828,0.999000,233.36
11,4.158347,4.159504,0.999000,233.39
12,4.158392,4.157572,0.999000,233.29
13,4.158341,4.161059,0.999000,233.18
14,4.158443,4.160433,0.999000,233.55
15,4.158419,4.158054,0.999000,233.02
16,4.158427,4.156647,0.999000,232.63
17,4.158497,4.160266,0.999000,232.35
18,4.158483,4.160133,0.999000,232.56
19,4.158424,4.159664,0.999000,232.69
20,4.158429,4.159939,0.999000,232.45
21,4.158455,4.160596,0.999000,232.08
22,4.158463,4.161283,0.999000,232.03
23,4.158533,4.158221,0.999000,231.68
24,4.158437,4.158984,0.999000,231.78
25,4.158507,4.157309,0.999000,231.76
26,4.158420,4.158762,0.999000,231.40
27,4.158487,4.160061,0.999000,231.28
28,4.158505,4.157580,0.999000,231.14
29,4.158549,4.162326,0.999000,231.22
30,4.158469,4.157481,0.999000,231.21
