epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.168411,4.160237,1.000000,169.80
2,4.159256,4.160129,1.000000,169.43
3,4.158933,4.158944,1.000000,169.41
4,4.158785,4.158774,1.000000,169.42
5,4.158703,4.159893,1.000000,169.44
6,4.158635,4.157715,1.000000,169.44
7,4.158650,4.158663,1.000000,169.43
8,4.158519,4.158259,1.000000,169.43
9,4.158562,4.159536,1.000000,169.40
10,4.158455,4.157929,1.000000,169.41
11,4.158447,4.159960,1.000000,169.44
12,4.158441,4.159185,1.000000,169.41
13,4.158386,4.161488,1.000000,169.45
14,4.158429,4.159321,1.000000,169.42
15,4.158424,4.159408,1.000000,169.43
16,4.158427,4.158604,1.000000,169.43
17,4.158354,4.158884,1.000000,169.43
18,4.158311,4.158566,1.000000,169.43
19,4.158279,4.158892,1.000000,169.41
20,4.158312,4.158489,1.000000,169.43
21,4.158306,4.157723,1.000000,169.48
22,4.158340,4.158491,1.000000,169.44
23,4.158253,4.158764,1.000000,169.47
24,4.158313,4.159205,1.000000,169.43
25,4.158260,4.158806,1.000000,169.43
26,4.158325,4.158636,1.000000,169.43
27,4.158309,4.159197,1.000000,169.43
28,4.158365,4.159520,1.000000,169.44
29,4.158326,4.159114,1.000000,169.43
30,4.158332,4.157788,1.000000,169.45
