epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.594420,4.244780,0.285250,5.75
2,4.212967,4.196619,0.285250,4.46
3,4.187400,4.175773,0.285250,4.46
4,4.164062,4.152089,0.294250,4.46
5,4.147406,4.143715,0.293000,4.46
6,4.141473,4.139081,0.295250,4.46
7,4.138944,4.136994,0.303000,4.46
8,4.137300,4.135283,0.298750,4.46
9,4.135101,4.131034,0.294000,4.45
10,4.132432,4.128219,0.398500,4.45
11,4.130220,4.127047,0.398500,4.45
12,4.128425,4.126052,0.400750,4.45
13,4.127092,4.124355,0.398500,4.45
14,4.126131,4.123780,0.400750,4.45
15,4.125153,4.124113,0.470750,4.45
16,4.124401,4.122783,0.470500,4.46
17,4.123667,4.122643,0.472250,4.45
18,4.123135,4.122252,0.469750,4.45
19,4.122499,4.121482,0.472250,4.44
20,4.121947,4.120676,0.472250,4.44
21,4.121314,4.119908,0.471500,4.44
22,4.120881,4.118944,0.466250,4.46
23,4.119557,4.117124,0.472250,4.44
24,4.118486,4.116246,0.472250,4.44
25,4.117722,4.115672,0.472250,4.44
26,4.117320,4.115637,0.472000,4.45
27,4.116954,4.115334,0.469750,4.44
28,4.116658,4.115187,0.472000,4.45
29,4.116599,4.114871,0.472000,4.46
30,4.116308,4.114695,0.472000,4.44
