epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.518657,4.222248,0.280000,5.06
2,4.201173,4.183508,0.280000,4.51
3,4.171219,4.156085,0.284250,4.50
4,4.149995,4.140742,0.279250,4.50
5,4.140915,4.137530,0.287500,4.50
6,4.137611,4.134905,0.292500,4.50
7,4.135440,4.133410,0.289500,4.50
8,4.133793,4.132348,0.292500,4.49
9,4.132800,4.132286,0.291750,4.49
10,4.131957,4.130495,0.291750,4.49
11,4.131096,4.129342,0.289000,4.49
12,4.130532,4.128608,0.285000,4.51
13,4.129967,4.130631,0.290250,4.50
14,4.129412,4.127032,0.291250,4.50
15,4.128351,4.127106,0.300750,4.50
16,4.125082,4.121659,0.392750,4.49
17,4.122084,4.125517,0.407750,4.50
18,4.121065,4.123384,0.415500,4.49
19,4.120375,4.120632,0.427750,4.49
20,4.119591,4.122388,0.430250,4.49
21,4.118882,4.124969,0.431750,4.49
22,4.118336,4.125680,0.441500,4.49
23,4.117782,4.122769,0.450500,4.50
24,4.117315,4.120746,0.451500,4.49
25,4.116914,4.119339,0.449000,4.50
26,4.116566,4.123052,0.455000,4.50
27,4.116236,4.119527,0.455750,4.49
28,4.116059,4.124465,0.454250,4.49
29,4.115768,4.130694,0.456000,4.50
30,4.115530,4.123205,0.457000,4.50
