epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.168699,4.158460,1.000000,269.87
2,4.159194,4.158154,1.000000,267.85
3,4.159367,4.159580,1.000000,267.79
4,4.158970,4.159712,1.000000,267.80
5,4.158876,4.160688,1.000000,267.79
6,4.158782,4.157330,1.000000,267.81
7,4.158729,4.157196,0.999500,267.79
8,4.158657,4.159022,1.000000,267.79
9,4.158571,4.158811,1.000000,267.78
10,4.158523,4.159686,1.000000,267.79
11,4.158512,4.160037,1.000000,267.77
12,4.158480,4.158932,0.999500,267.77
13,4.158383,4.159768,1.000000,267.76
14,4.158342,4.159683,1.000000,267.77
15,4.158268,4.159211,1.000000,267.76
16,4.158223,4.160541,1.000000,267.77
17,4.158214,4.159231,1.000000,267.77
18,4.158235,4.158308,1.000000,267.77
19,4.158116,4.158353,1.000000,267.77
20,4.158166,4.159296,1.000000,267.77
21,4.158139,4.156830,1.000000,267.80
22,4.158105,4.158740,0.999500,267.79
23,4.158154,4.157636,0.999500,267.81
24,4.158205,4.158107,0.999500,267.82
25,4.158210,4.159178,1.000000,267.82
26,4.158176,4.157684,1.000000,267.81
