epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.166150,4.159849,1.000000,677.14
2,4.160028,4.159208,1.000000,676.41
3,4.159092,4.158783,1.000000,676.50
4,4.158655,4.158506,1.000000,676.45
5,4.158528,4.158480,1.000000,676.33
6,4.158466,4.158447,1.000000,676.33
7,4.158427,4.158430,1.000000,676.49
8,4.158403,4.158415,1.000000,676.36
9,4.158380,4.158391,1.000000,676.42
10,4.158363,4.158440,1.000000,676.44
11,4.158354,4.158362,1.000000,677.34
12,4.158356,4.158354,1.000000,677.21
13,4.158340,4.158356,1.000000,677.19
14,4.158330,4.158380,1.000000,677.12
15,4.158324,4.158317,1.000000,677.06
16,4.158313,4.158390,1.000000,676.81
17,4.158312,4.158432,1.000000,676.85
18,4.158303,4.158348,1.000000,676.97
19,4.158293,4.158315,1.000000,677.03
20,4.158283,4.158398,1.000000,677.33
21,4.158281,4.158429,1.000000,677.34
22,4.158274,4.158383,1.000000,677.34
23,4.158271,4.158369,1.000000,677.05
24,4.158264,4.158375,1.000000,677.09
25,4.158266,4.158336,1.000000,677.11
26,4.158256,4.158418,1.000000,677.11
27,4.158258,4.158365,1.000000,676.65
28,4.158257,4.158286,1.000000,677.06
29,4.158271,4.158359,1.000000,676.90
30,4.158255,4.158388,1.000000,676.73
