epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.174101,4.204229,0.999500,1960.48
2,4.162926,4.169961,1.000000,1961.26
3,4.163436,4.219000,0.964000,1960.24
4,4.165008,4.172402,0.998000,1961.47
5,4.165253,4.173152,0.001500,1960.07
6,4.164978,4.175832,0.001500,1960.44
7,4.164542,4.177393,0.066000,1958.98
8,4.164162,4.174455,0.000500,1959.33
9,4.163844,4.171328,0.001500,1959.16
10,4.163482,4.170187,0.002000,1959.34
11,4.163403,4.172107,0.000000,1959.32
12,4.163470,4.175586,0.000000,1959.27
13,4.163521,4.175354,0.013000,1959.94
14,4.163480,4.173697,0.051000,1959.48
15,4.163402,4.173923,0.000500,1958.98
16,4.163489,4.174822,0.000000,1960.28
17,4.163432,4.175185,0.003000,1959.32
18,4.163421,4.173934,0.000000,1960.38
