epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,3.471063,3.366743,0.968400,20.07
2,3.365974,3.354665,0.981800,18.31
3,3.357358,3.352153,0.981200,18.27
4,3.352580,3.351529,0.982700,18.26
5,3.348895,3.347017,0.989500,18.24
6,3.346969,3.344661,0.989500,18.25
7,3.345154,3.347562,0.986600,18.24
8,3.342543,3.341582,0.991700,18.25
9,3.341869,3.341217,0.992800,18.21
10,3.340047,3.343188,0.991400,18.24
11,3.339263,3.343814,0.989700,18.23
12,3.337830,3.341905,0.995500,18.24
13,3.336778,3.341039,0.994600,18.22
14,3.336098,3.341411,0.996200,18.25
15,3.334820,3.342036,0.994900,18.24
16,3.334203,3.341262,0.993200,18.23
17,3.333523,3.341890,0.994500,18.24
18,3.332390,3.341533,0.995000,18.24
19,3.331151,3.343534,0.992600,18.23
20,3.330405,3.343536,0.994600,18.24
21,3.329087,3.344765,0.993200,18.23
22,3.327720,3.346631,0.993900,18.24
23,3.325805,3.345636,0.996500,18.23
24,3.324471,3.347892,0.994000,18.23
25,3.322371,3.347232,0.998000,18.22
26,3.319766,3.348500,0.997200,18.24
27,3.317080,3.351925,0.995200,18.25
28,3.314055,3.355794,0.995100,18.24
29,3.310474,3.356761,0.995600,18.24
30,3.305190,3.359932,0.997100,18.26
31,3.299968,3.364603,0.996600,18.24
32,3.293262,3.370007,0.996600,18.24
33,3.285593,3.380218,0.997600,18.24
34,3.275642,3.385260,0.997700,18.24
35,3.264496,3.397164,0.997200,18.24
36,3.250769,3.410248,0.997800,18.23
37,3.234160,3.427633,0.997000,18.23
38,3.214504,3.451445,0.996800,18.23
39,3.191558,3.463835,0.997700,18.22
40,3.163513,3.486041,0.997500,18.24
41,3.131338,3.526141,0.997400,18.23
42,3.093594,3.564868,0.996600,18.22
43,3.048324,3.603976,0.997000,18.23
44,3.000055,3.642280,0.996500,18.23
45,2.951609,3.690038,0.997100,18.24
46,2.901630,3.725145,0.996400,18.23
47,2.851157,3.779136,0.996000,18.23
48,2.798644,3.830032,0.996200,18.24
49,2.744053,3.891569,0.996900,18.23
50,2.691825,3.938396,0.996700,18.25
