epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.169624,4.160610,1.000000,729.85
2,4.161390,4.160659,1.000000,728.56
3,4.160492,4.160180,1.000000,728.27
4,4.159793,4.159613,1.000000,728.21
5,4.159279,4.159773,1.000000,728.19
6,4.158769,4.159875,1.000000,728.18
7,4.158248,4.160418,1.000000,728.25
8,4.157664,4.161337,1.000000,728.21
9,4.156999,4.163316,1.000000,728.26
10,4.156200,4.162949,1.000000,728.23
11,4.155254,4.163409,1.000000,728.25
12,4.154226,4.165366,1.000000,728.21
13,4.153042,4.164695,1.000000,728.23
14,4.151851,4.168325,1.000000,728.25
15,4.150496,4.167197,1.000000,728.26
