epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.077495,4.043307,0.000000,27.05
2,4.043427,4.042450,0.000200,26.74
3,4.041239,4.028982,0.000100,26.73
4,4.041689,4.024310,0.004000,26.73
5,4.016483,4.006453,0.000200,26.73
6,3.997950,3.990854,0.005800,26.77
7,4.006426,4.013314,0.000600,26.75
8,4.028981,4.027446,0.000000,26.74
9,4.031397,4.027720,0.000800,26.72
10,4.023770,4.008856,0.012700,26.71
11,4.024411,4.016821,0.001300,26.71
12,4.023081,4.013210,0.015100,26.71
13,4.009959,4.008527,0.008200,26.71
14,4.011837,4.002171,0.012800,26.70
15,4.008466,3.998492,0.028500,26.71
16,4.002829,3.988459,0.022400,26.70
17,3.969267,3.917112,0.093100,26.70
18,3.918880,3.920060,0.090300,26.70
19,3.940829,3.901169,0.099500,26.70
20,3.907570,3.881496,0.100800,26.70
21,3.891249,3.883176,0.100800,26.70
22,3.878872,3.868303,0.109100,26.69
23,3.876195,3.863008,0.115800,26.69
24,3.870619,3.856535,0.114700,26.69
25,3.877174,3.863786,0.106800,26.69
26,3.869853,3.850149,0.122700,26.68
27,3.846960,3.835656,0.124600,26.68
28,3.835741,3.817209,0.134600,26.67
29,3.837034,3.828374,0.128200,26.66
30,3.846785,3.834390,0.119900,26.66
31,3.843775,3.840457,0.127800,26.66
32,3.866817,3.857129,0.123900,26.66
33,3.861960,3.830543,0.134000,26.66
34,3.846138,3.860387,0.108000,26.66
35,3.852735,3.825809,0.134700,26.66
36,3.824430,3.842617,0.116200,26.65
37,3.838600,3.809068,0.136100,26.65
38,3.808958,3.796324,0.133400,26.65
39,3.803298,3.802864,0.137000,26.64
40,3.808469,3.799295,0.130000,26.64
41,3.802724,3.791484,0.134800,26.64
42,3.798673,3.791195,0.138600,26.64
43,3.797280,3.798669,0.136300,26.64
44,3.811515,3.804091,0.132100,26.64
45,3.804608,3.797722,0.137900,26.64
46,3.804453,3.797218,0.141600,26.64
47,3.806299,3.806082,0.133700,26.64
48,3.808226,3.807651,0.133200,26.64
49,3.803218,3.796280,0.133200,26.64
50,3.799639,3.794750,0.137300,26.64
