epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,3.478014,3.372941,0.961900,58.57
2,3.374589,3.363232,0.972000,57.32
3,3.359687,3.352930,0.981100,57.56
4,3.351273,3.350000,0.989100,57.72
5,3.348571,3.350589,0.987700,57.66
6,3.347268,3.344939,0.991500,57.71
7,3.345931,3.344341,0.992100,57.70
8,3.344148,3.344238,0.989100,57.71
9,3.343905,3.344040,0.991500,57.67
10,3.343906,3.343436,0.992400,57.59
11,3.342838,3.343991,0.990500,57.65
12,3.343060,3.343377,0.991900,57.76
13,3.341053,3.341888,0.994700,58.14
14,3.341687,3.343287,0.990800,57.77
15,3.340976,3.341300,0.994200,57.52
16,3.339502,3.340681,0.993300,57.54
17,3.339671,3.341418,0.993000,57.54
18,3.338791,3.342247,0.991600,57.58
19,3.338435,3.340581,0.993200,57.59
20,3.338185,3.339989,0.994500,57.53
21,3.338816,3.343484,0.990100,57.50
22,3.338837,3.341505,0.993800,57.52
23,3.336980,3.341586,0.992800,57.55
24,3.336220,3.341416,0.994000,57.58
25,3.336748,3.343354,0.991700,57.58
26,3.336282,3.342817,0.991100,57.57
27,3.336638,3.342920,0.993000,57.55
28,3.335445,3.344573,0.990500,57.52
29,3.336123,3.345790,0.992700,57.49
30,3.334376,3.342435,0.994800,57.48
