epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,3.464618,3.358474,0.982700,26.52
2,3.358794,3.346471,0.989800,26.25
3,3.352032,3.343703,0.992500,26.25
4,3.348978,3.343268,0.990500,26.23
5,3.346471,3.342153,0.990700,26.22
6,3.345770,3.343236,0.989900,26.24
7,3.343286,3.337716,0.992700,26.23
8,3.342371,3.339644,0.992600,26.22
9,3.341877,3.339285,0.993500,26.23
10,3.341068,3.337961,0.994200,26.22
11,3.340512,3.339016,0.989000,26.22
12,3.340376,3.340486,0.992000,26.22
13,3.339634,3.337569,0.993300,26.22
14,3.338846,3.338759,0.992500,26.21
15,3.340153,3.341374,0.990400,26.22
16,3.337880,3.335064,0.996500,26.20
17,3.338521,3.336680,0.993200,26.20
18,3.338208,3.337561,0.993300,26.19
19,3.336288,3.336059,0.995700,26.20
20,3.336262,3.338749,0.992000,26.20
21,3.337200,3.335809,0.995700,26.21
22,3.335387,3.334765,0.998100,26.21
23,3.335202,3.337130,0.994700,26.21
24,3.335690,3.338217,0.992700,26.21
25,3.335153,3.337638,0.993500,26.20
26,3.334102,3.337185,0.996000,26.21
27,3.334199,3.340041,0.993800,26.21
28,3.334256,3.336890,0.996300,26.19
29,3.332730,3.337905,0.995600,26.19
30,3.332794,3.337412,0.995400,26.20
