Using device: cuda
Generating training data...
Generating validation data...
Model parameters: 10,795,776
Epoch   1/50 | train_loss=2.4174 | val_loss=2.2648 | val_acc=0.6010 | time=83.7s
Epoch   2/50 | train_loss=2.2143 | val_loss=2.1526 | val_acc=0.9790 | time=83.8s
Epoch   3/50 | train_loss=2.1442 | val_loss=2.1352 | val_acc=0.9990 | time=83.9s
Epoch   4/50 | train_loss=2.1239 | val_loss=2.1214 | val_acc=0.9976 | time=84.0s
Epoch   5/50 | train_loss=2.1173 | val_loss=2.1221 | val_acc=0.9998 | time=84.0s
Epoch   6/50 | train_loss=2.1084 | val_loss=2.1173 | val_acc=0.9996 | time=84.1s
Epoch   7/50 | train_loss=2.1024 | val_loss=2.1243 | val_acc=0.9980 | time=84.0s
Epoch   8/50 | train_loss=2.0964 | val_loss=2.1126 | val_acc=0.9986 | time=84.0s
Epoch   9/50 | train_loss=2.0860 | val_loss=2.1154 | val_acc=0.9992 | time=84.1s
Epoch  10/50 | train_loss=2.0775 | val_loss=2.1238 | val_acc=0.9998 | time=84.0s
Epoch  11/50 | train_loss=2.0663 | val_loss=2.1206 | val_acc=0.9996 | time=84.0s
Epoch  12/50 | train_loss=2.0544 | val_loss=2.1290 | val_acc=0.9996 | time=84.0s
Epoch  13/50 | train_loss=2.0412 | val_loss=2.1386 | val_acc=0.9998 | time=84.1s
Epoch  14/50 | train_loss=2.0270 | val_loss=2.1410 | val_acc=0.9994 | time=84.0s
Epoch  15/50 | train_loss=2.0125 | val_loss=2.1552 | val_acc=0.9976 | time=84.0s
Epoch  16/50 | train_loss=1.9965 | val_loss=2.1691 | val_acc=1.0000 | time=84.0s
Epoch  17/50 | train_loss=1.9816 | val_loss=2.1830 | val_acc=0.9998 | time=84.0s
Epoch  18/50 | train_loss=1.9685 | val_loss=2.1891 | val_acc=1.0000 | time=84.1s
Epoch  19/50 | train_loss=1.9557 | val_loss=2.2094 | val_acc=0.9998 | time=84.0s
Epoch  20/50 | train_loss=1.9464 | val_loss=2.2275 | val_acc=0.9998 | time=84.0s
Epoch  21/50 | train_loss=1.9383 | val_loss=2.2463 | val_acc=1.0000 | time=84.1s
Epoch  22/50 | train_loss=1.9337 | val_loss=2.2508 | val_acc=0.9992 | time=84.0s
Epoch  23/50 | train_loss=1.9280 | val_loss=2.2688 | val_acc=0.9998 | time=84.0s
Epoch  24/50 | train_loss=1.9244 | val_loss=2.2709 | val_acc=0.9994 | time=84.0s
Epoch  25/50 | train_loss=1.9206 | val_loss=2.2832 | val_acc=0.9990 | time=84.1s
Epoch  26/50 | train_loss=1.9182 | val_loss=2.2927 | val_acc=0.9924 | time=84.1s
Epoch  27/50 | train_loss=1.9171 | val_loss=2.3010 | val_acc=0.9930 | time=84.0s
Epoch  28/50 | train_loss=1.9153 | val_loss=2.3064 | val_acc=1.0000 | time=84.0s
Epoch  29/50 | train_loss=1.9112 | val_loss=2.3079 | val_acc=0.9996 | time=84.1s
Epoch  30/50 | train_loss=1.9089 | val_loss=2.3239 | val_acc=1.0000 | time=84.0s
Epoch  31/50 | train_loss=1.9069 | val_loss=2.3286 | val_acc=1.0000 | time=84.1s
Epoch  32/50 | train_loss=1.9051 | val_loss=2.3257 | val_acc=1.0000 | time=84.1s
Epoch  33/50 | train_loss=1.9036 | val_loss=2.3408 | val_acc=0.9998 | time=84.0s
Epoch  34/50 | train_loss=1.9014 | val_loss=2.3419 | val_acc=1.0000 | time=84.1s
Epoch  35/50 | train_loss=1.8995 | val_loss=2.3449 | val_acc=1.0000 | time=84.1s
Epoch  36/50 | train_loss=1.8977 | val_loss=2.3466 | val_acc=1.0000 | time=84.0s
Epoch  37/50 | train_loss=1.8952 | val_loss=2.3571 | val_acc=1.0000 | time=84.0s
Epoch  38/50 | train_loss=1.8924 | val_loss=2.3619 | val_acc=1.0000 | time=84.1s
Epoch  39/50 | train_loss=1.8904 | val_loss=2.3576 | val_acc=1.0000 | time=84.1s
Epoch  40/50 | train_loss=1.8883 | val_loss=2.3623 | val_acc=1.0000 | time=84.1s
Epoch  41/50 | train_loss=1.8847 | val_loss=2.3727 | val_acc=0.9990 | time=84.0s
Epoch  42/50 | train_loss=1.8823 | val_loss=2.3759 | val_acc=1.0000 | time=84.1s
Epoch  43/50 | train_loss=1.8788 | val_loss=2.3827 | val_acc=1.0000 | time=84.1s
Epoch  44/50 | train_loss=1.8768 | val_loss=2.3772 | val_acc=1.0000 | time=84.1s
Epoch  45/50 | train_loss=1.8708 | val_loss=2.3810 | val_acc=1.0000 | time=84.1s
Epoch  46/50 | train_loss=1.8665 | val_loss=2.3891 | val_acc=0.9998 | time=84.1s
Epoch  47/50 | train_loss=1.8620 | val_loss=2.4097 | val_acc=1.0000 | time=84.1s
Epoch  48/50 | train_loss=1.8565 | val_loss=2.4030 | val_acc=1.0000 | time=84.1s
Epoch  49/50 | train_loss=1.8507 | val_loss=2.4176 | val_acc=1.0000 | time=84.1s
Epoch  50/50 | train_loss=1.8436 | val_loss=2.4225 | val_acc=1.0000 | time=84.1s
Model saved to results/binary_search_stieltjes_q4.0_numiter10_ascend_retrain/model.pt
Metrics saved to results/binary_search_stieltjes_q4.0_numiter10_ascend_retrain/metrics.csv
