epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.859267,4.855292,0.000000,2803.74
2,4.855124,4.854041,0.006000,2803.03
3,4.854094,4.853720,0.010000,2803.74
4,4.853697,4.853644,0.010000,2802.73
5,4.853413,4.853765,0.006000,2802.72
6,4.853122,4.853801,0.014000,2801.86
7,4.852888,4.853952,0.006000,2799.59
8,4.852663,4.854050,0.006000,2799.53
9,4.852441,4.854353,0.006000,2799.83
10,4.852164,4.854480,0.032000,2801.44
11,4.851861,4.854699,0.018000,2802.60
12,4.851547,4.855200,0.044000,2802.14
13,4.851213,4.856172,0.042000,2802.04
14,4.850831,4.855685,0.058000,2802.09
15,4.850397,4.856164,0.118000,2801.81
