epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.883474,4.874720,0.007500,104.80
2,4.875653,4.873927,0.011000,104.77
3,4.874476,4.873980,0.007500,104.52
4,4.873664,4.873127,0.008000,104.11
5,4.873292,4.873393,0.007500,104.14
6,4.871165,4.870618,0.007000,104.15
7,4.869703,4.867636,0.040500,104.17
8,4.865863,4.864085,0.309500,104.17
9,4.863057,4.862060,0.573500,104.19
10,4.861587,4.861241,0.656000,104.20
11,4.860826,4.860661,0.724000,103.96
12,4.860226,4.860046,0.740000,103.96
13,4.859231,4.860044,0.752000,103.95
14,4.858615,4.859265,0.844500,103.95
15,4.857601,4.858512,0.940000,103.97
16,4.856795,4.858305,0.959000,103.97
17,4.856293,4.858587,0.991500,103.98
18,4.855839,4.859000,0.989000,103.97
19,4.855372,4.859582,0.988000,104.16
20,4.854966,4.859952,0.998500,104.30
21,4.854482,4.860084,0.999500,104.21
22,4.854048,4.860694,0.998500,104.24
23,4.853626,4.860966,0.999500,104.25
24,4.853131,4.861365,1.000000,104.31
25,4.852648,4.861960,1.000000,104.40
26,4.852137,4.862361,1.000000,104.55
27,4.851714,4.862592,0.999000,104.70
28,4.851186,4.863189,0.998500,104.84
29,4.850722,4.863496,0.999000,104.41
30,4.850248,4.863774,0.999500,104.38
