epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.878918,4.839027,0.007000,26.25
2,4.840970,4.823997,0.023600,26.01
3,4.787913,4.750903,0.041000,26.01
4,4.753170,4.730297,0.072400,25.94
5,4.723620,4.703340,0.090000,25.93
6,4.710827,4.691334,0.118200,26.00
7,4.704427,4.700183,0.121800,25.93
8,4.707857,4.687571,0.154600,25.98
9,4.705660,4.675022,0.222800,25.93
10,4.685344,4.713676,0.079000,25.98
11,4.655513,4.618787,0.376400,25.99
12,4.633573,4.608123,0.400200,25.97
13,4.622336,4.598824,0.441600,25.94
14,4.622881,4.603646,0.449200,25.98
15,4.645706,4.592647,0.519400,25.93
16,4.587649,4.547932,0.705800,25.92
17,4.568310,4.526440,0.803200,25.93
18,4.541362,4.495463,0.953000,25.99
19,4.501694,4.479436,0.975600,25.99
20,4.491315,4.473320,0.989800,25.98
21,4.487482,4.487071,0.961000,25.94
22,4.480523,4.470901,0.970800,25.92
23,4.468277,4.456905,0.996600,25.93
24,4.471619,4.470336,0.974200,25.92
25,4.468690,4.455846,0.998000,25.99
26,4.461273,4.454874,0.991600,25.98
27,4.461270,4.462111,0.993600,25.93
28,4.465347,4.453010,0.998600,25.99
29,4.461316,4.453048,0.993000,25.99
30,4.461096,4.455177,0.996400,25.94
