epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.869276,4.865569,0.000000,1951.89
2,4.865974,4.865340,0.000000,1950.99
3,4.864547,4.861931,0.009500,1951.68
4,4.859551,4.860616,0.005500,1952.42
5,4.859056,4.860239,0.009500,1952.90
6,4.858862,4.859533,0.007500,1953.19
7,4.858750,4.860027,0.005500,1953.45
8,4.858666,4.860218,0.007000,1953.65
9,4.858617,4.859797,0.007000,1953.74
10,4.858576,4.860162,0.009000,1953.93
11,4.858546,4.861059,0.009500,1954.07
12,4.858524,4.858848,0.009500,1954.07
13,4.858501,4.858750,0.009500,1954.06
14,4.858480,4.859267,0.006500,1953.86
15,4.858461,4.859606,0.009500,1953.78
16,4.858449,4.859806,0.006000,1953.60
17,4.858502,4.858984,0.003000,1953.51
18,4.858443,4.859175,0.009500,1953.16
