epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.896462,4.889188,0.009500,131.65
2,4.890403,4.888251,0.006500,129.97
3,4.888238,4.887286,0.006000,129.39
4,4.887564,4.887121,0.007000,129.09
5,4.887142,4.886584,0.010000,128.94
6,4.881974,4.877925,0.031000,128.78
7,4.876503,4.874235,0.063000,128.46
8,4.874959,4.873580,0.080000,128.47
9,4.875274,4.876076,0.086500,128.74
10,4.875919,4.874103,0.090500,128.96
11,4.875637,4.877094,0.064500,128.89
12,4.875597,4.874943,0.095000,128.55
13,4.877452,4.876902,0.063000,128.57
14,4.878762,4.877698,0.073500,128.54
15,4.879318,4.878643,0.056500,128.77
16,4.878903,4.879672,0.051000,128.52
17,4.880836,4.879213,0.064500,128.25
18,4.880568,4.878320,0.070000,128.89
19,4.881886,4.884684,0.040500,128.36
20,4.885425,4.883976,0.039000,128.28
21,4.884760,4.883286,0.039000,128.22
22,4.884765,4.882180,0.074500,128.28
23,4.883625,4.881879,0.063500,128.27
24,4.882359,4.879242,0.093000,128.33
25,4.880684,4.879025,0.118500,128.36
26,4.880628,4.877974,0.124500,128.72
27,4.879786,4.877458,0.115500,128.83
28,4.879163,4.877753,0.135000,128.55
29,4.878414,4.876539,0.146500,128.41
30,4.878032,4.875808,0.145000,128.43
