epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.861725,4.857846,0.000000,3340.80
2,4.857640,4.856775,0.000000,3338.90
3,4.856418,4.855123,0.006000,3338.72
4,4.855201,4.854941,0.008000,3338.73
5,4.855073,4.854674,0.010000,3338.78
6,4.854995,4.854639,0.014000,3338.81
7,4.854577,4.854589,0.004000,3339.22
8,4.854500,4.854486,0.002000,3339.55
9,4.854435,4.854469,0.008000,3336.41
10,4.854397,4.854488,0.008000,3336.17
11,4.854439,4.854421,0.012000,3336.18
12,4.854363,4.854504,0.006000,3336.18
