epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.862668,4.808354,0.019200,58.06
2,4.615648,4.463781,0.991800,56.90
3,4.455844,4.452205,1.000000,57.25
4,4.451212,4.451354,1.000000,57.33
5,4.450797,4.450688,1.000000,57.38
6,4.449324,4.452239,1.000000,57.40
7,4.447701,4.448402,1.000000,57.38
8,4.446751,4.447871,1.000000,57.42
9,4.446427,4.448464,1.000000,57.40
10,4.447313,4.447946,1.000000,57.37
11,4.445497,4.447343,1.000000,57.38
12,4.444854,4.447699,1.000000,57.37
13,4.443812,4.448158,1.000000,57.38
14,4.443979,4.448478,1.000000,57.43
15,4.443647,4.448648,1.000000,57.39
16,4.443057,4.449049,1.000000,57.38
17,4.443489,4.447981,1.000000,57.37
18,4.441756,4.448295,1.000000,57.41
19,4.441220,4.449302,1.000000,57.40
20,4.440462,4.448910,1.000000,57.42
21,4.439960,4.450119,1.000000,57.42
22,4.439693,4.449421,1.000000,57.43
23,4.437911,4.450842,1.000000,57.44
24,4.437185,4.452400,0.999800,57.45
25,4.437420,4.454110,1.000000,57.46
26,4.438071,4.453021,0.999800,57.44
27,4.435092,4.454562,0.998600,57.50
28,4.434772,4.453436,1.000000,57.46
29,4.433192,4.455535,1.000000,57.46
30,4.431465,4.458877,0.999800,57.46
