epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,0.397084,0.333238,0.521078,23.34
2,0.334781,0.329407,0.526627,17.65
3,0.329927,0.325311,0.533792,17.64
4,0.327175,0.323529,0.536747,17.63
5,0.324928,0.321872,0.540359,17.63
6,0.324037,0.320335,0.543333,17.64
7,0.322399,0.320110,0.544232,17.62
8,0.321756,0.319079,0.546717,17.57
9,0.321540,0.321646,0.541188,17.56
10,0.321047,0.318604,0.547176,17.56
11,0.319963,0.318571,0.547405,17.55
12,0.319865,0.318088,0.548852,17.55
13,0.319528,0.317758,0.548942,17.56
14,0.319333,0.318027,0.547994,17.55
15,0.318939,0.317612,0.549391,17.56
16,0.318628,0.317419,0.549242,17.55
17,0.318666,0.318797,0.546747,17.55
18,0.318337,0.317474,0.549840,17.55
19,0.318024,0.316968,0.550459,17.55
20,0.317968,0.317201,0.549970,17.55
21,0.317867,0.317398,0.549591,17.56
22,0.317494,0.317185,0.550309,17.55
23,0.317349,0.317197,0.550349,17.56
24,0.317300,0.317298,0.550120,17.56
25,0.317173,0.317188,0.550200,17.56
26,0.316924,0.317365,0.550070,17.57
27,0.316754,0.317273,0.550709,17.55
28,0.316632,0.317439,0.549990,17.54
29,0.316465,0.317281,0.550948,17.56
30,0.316169,0.317104,0.551198,17.55
31,0.316022,0.317510,0.550649,17.55
32,0.315972,0.317436,0.551188,17.56
33,0.315545,0.317791,0.550988,17.55
34,0.315400,0.317657,0.551357,17.58
35,0.315005,0.318078,0.551068,17.56
36,0.314657,0.318055,0.551168,17.55
37,0.314186,0.318326,0.551507,17.57
38,0.313686,0.318850,0.550569,17.55
39,0.312920,0.319415,0.551327,17.55
40,0.312383,0.319183,0.551457,17.57
41,0.311537,0.320710,0.551387,17.56
42,0.310435,0.321151,0.551148,17.55
43,0.309277,0.322079,0.550599,17.56
44,0.307845,0.324596,0.549890,17.55
45,0.306405,0.324343,0.549351,17.57
46,0.304593,0.326315,0.548214,17.55
47,0.302786,0.328581,0.546727,17.55
48,0.300620,0.329984,0.545758,17.57
49,0.298571,0.331572,0.544850,17.56
50,0.296225,0.334129,0.539930,17.57
