epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.323372,2.109825,0.938862,43.27
2,2.101438,2.079200,0.953952,42.14
3,2.068358,2.057452,0.966946,42.39
4,2.050152,2.038785,0.978104,42.49
5,2.040105,2.033521,0.981816,42.56
6,2.033445,2.027739,0.983812,42.59
7,2.029547,2.021871,0.988463,42.60
8,2.024572,2.026405,0.984970,42.60
9,2.023224,2.024165,0.986727,42.62
10,2.020977,2.018487,0.990359,42.59
11,2.019250,2.019534,0.989621,42.60
12,2.018198,2.017762,0.991098,42.63
13,2.015937,2.013786,0.993014,42.64
14,2.014557,2.013057,0.993772,42.63
15,2.013469,2.017390,0.992136,42.64
16,2.013037,2.017242,0.991038,42.63
17,2.012177,2.013402,0.993413,42.65
18,2.010993,2.012886,0.994212,42.62
19,2.010039,2.009962,0.995469,42.63
20,2.008833,2.011214,0.994750,42.63
21,2.008665,2.011781,0.994850,42.64
22,2.007009,2.011334,0.995629,42.63
23,2.006853,2.012083,0.995289,42.64
24,2.004786,2.011237,0.995948,42.65
25,2.004180,2.012054,0.995230,42.65
26,2.003154,2.014021,0.995589,42.63
27,2.002020,2.018327,0.992715,42.64
28,2.000480,2.013859,0.995489,42.63
29,1.999011,2.014927,0.996048,42.65
30,1.997222,2.018173,0.994451,42.64
31,1.994397,2.016844,0.997066,42.67
32,1.991808,2.018885,0.997425,42.66
33,1.988497,2.022672,0.996607,42.66
34,1.984500,2.023739,0.997086,42.65
35,1.980275,2.029258,0.996786,42.66
36,1.974224,2.034699,0.996487,42.65
37,1.967466,2.039167,0.996986,42.66
38,1.960356,2.042764,0.998323,42.66
39,1.951344,2.053808,0.997345,42.66
40,1.942575,2.056569,0.997186,42.66
41,1.931273,2.077861,0.997565,42.66
42,1.919436,2.081123,0.997645,42.66
43,1.906311,2.090085,0.998064,42.66
44,1.892222,2.115181,0.997824,42.65
45,1.877080,2.120430,0.998483,42.68
46,1.859514,2.138015,0.998084,42.68
47,1.842390,2.156880,0.997605,42.69
48,1.821806,2.177554,0.997844,42.66
49,1.802519,2.204108,0.998204,42.68
50,1.779821,2.226608,0.997665,42.66
