epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,3.169462,2.901944,0.911026,249.52
2,2.870167,2.885811,0.914005,249.30
3,2.833676,2.850390,0.942268,249.28
4,2.818731,2.835420,0.953866,249.29
5,2.810471,2.855650,0.936102,249.29
6,2.805026,2.849424,0.942024,249.29
7,2.801167,2.857025,0.937131,249.29
8,2.798155,2.846881,0.943485,249.31
9,2.795839,2.823514,0.962334,249.29
10,2.793987,2.829029,0.958943,249.30
11,2.792536,2.829357,0.957093,249.28
12,2.791155,2.816855,0.966129,249.24
13,2.790041,2.828447,0.957520,249.18
14,2.789070,2.822826,0.961724,249.21
15,2.788076,2.815669,0.968473,249.20
16,2.787310,2.811342,0.971351,249.21
17,2.786564,2.810551,0.970821,249.24
18,2.785993,2.813907,0.968257,249.21
19,2.785335,2.816483,0.968607,249.19
20,2.784909,2.810125,0.972332,249.25
21,2.784337,2.802747,0.976607,249.21
22,2.783813,2.808512,0.972944,249.29
23,2.783385,2.842087,0.951388,249.28
24,2.783085,2.805388,0.975273,249.25
25,2.782605,2.813055,0.969926,249.25
26,2.782152,2.812760,0.971205,249.23
27,2.781835,2.812295,0.970360,249.20
28,2.781492,2.805324,0.975844,249.24
29,2.781091,2.800416,0.979205,249.23
30,2.780741,2.808365,0.973641,249.22
