epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,3.637681,3.461656,0.436314,776.89
2,3.394577,3.264472,0.591204,776.38
3,3.258847,3.146430,0.690088,776.37
4,3.162514,3.060390,0.764487,776.35
5,3.086799,2.995949,0.820810,776.31
6,3.024681,2.939309,0.870486,776.36
7,2.974780,2.897174,0.905087,776.41
8,2.931677,2.871803,0.925727,776.45
9,2.893203,2.838307,0.953941,776.30
10,2.862349,2.815407,0.972080,776.34
11,2.839865,2.806237,0.978617,776.31
12,2.825806,2.799202,0.983417,776.36
13,2.818326,2.797250,0.984316,776.27
14,2.813128,2.799737,0.981833,776.29
15,2.809286,2.795260,0.985312,776.27
16,2.806278,2.794740,0.985305,776.32
17,2.803951,2.788814,0.989930,776.23
18,2.801938,2.791299,0.987843,776.26
19,2.800224,2.789673,0.988900,776.29
20,2.798728,2.788859,0.989413,776.33
21,2.797222,2.787750,0.990277,776.19
22,2.796134,2.786833,0.991073,776.27
23,2.795077,2.784856,0.992341,776.34
24,2.793969,2.784062,0.992977,776.38
25,2.793181,2.784091,0.992864,776.27
26,2.792393,2.786128,0.991155,776.77
27,2.791650,2.787047,0.990501,777.13
