epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.180482,4.088961,0.010100,27.10
2,4.101121,4.078424,0.010539,26.76
3,4.087382,4.095764,0.008483,26.76
4,4.085646,4.081427,0.012874,26.75
5,4.084644,4.066837,0.010299,26.74
6,4.076255,4.072570,0.011497,26.73
7,4.078552,4.074889,0.011996,26.75
8,4.079990,4.063773,0.013333,26.73
9,4.073233,4.086618,0.010439,26.76
10,4.074575,4.076303,0.012076,26.74
11,4.077356,4.068835,0.011377,26.75
12,4.077876,4.061548,0.014950,26.72
13,4.075765,4.087250,0.010359,26.74
14,4.072359,4.073065,0.010040,26.73
15,4.069078,4.071010,0.010958,26.75
16,4.073264,4.097010,0.010120,26.73
17,4.078535,4.093344,0.007625,26.74
18,4.072621,4.101947,0.007784,26.74
19,4.069591,4.074266,0.010559,26.75
20,4.069446,4.075029,0.011058,26.72
21,4.068432,4.075539,0.009182,26.74
22,4.068286,4.065419,0.013553,26.73
23,4.068379,4.054481,0.013852,26.74
24,4.068044,4.072506,0.011557,26.73
25,4.068405,4.058405,0.015269,26.74
26,4.061299,4.073918,0.012255,26.74
27,4.063333,4.058542,0.014132,26.73
28,4.058540,4.059496,0.014671,26.72
29,4.059469,4.066553,0.011916,26.74
30,4.059567,4.069632,0.011856,26.73
31,4.061679,4.077298,0.010978,26.74
32,4.065679,4.073473,0.011437,26.73
33,4.066903,4.080126,0.010858,26.75
34,4.072388,4.065456,0.012874,26.75
35,4.067339,4.067964,0.013194,26.74
36,4.066810,4.082960,0.011218,26.73
37,4.070546,4.071988,0.013194,26.75
38,4.078141,4.079204,0.011717,26.74
39,4.074297,4.080395,0.010978,26.73
40,4.071349,4.075479,0.011257,26.73
41,4.073034,4.087483,0.010499,26.73
42,4.074815,4.092679,0.009780,26.73
43,4.067831,4.081661,0.012455,26.74
44,4.068129,4.074101,0.012834,26.73
45,4.068571,4.075808,0.011996,26.74
46,4.070044,4.081204,0.011557,26.73
47,4.069295,4.070049,0.012934,26.75
48,4.074881,4.065005,0.013533,26.75
49,4.075150,4.068053,0.012455,26.72
50,4.072102,4.070006,0.012794,26.72
