epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,6.523072,6.113131,0.007475,22.78
2,7.103528,nan,0.014421,17.35
3,5.328110,nan,0.014301,17.32
4,5.299242,nan,0.014351,7.55
5,6.003304,nan,0.014741,7.55
6,nan,nan,0.014741,7.51
7,nan,nan,0.014741,7.52
8,nan,nan,0.014741,7.50
9,nan,nan,0.014741,7.50
10,nan,nan,0.014741,7.51
11,nan,nan,0.014741,7.51
12,nan,nan,0.014741,7.50
13,nan,nan,0.014741,7.52
14,nan,nan,0.014741,7.50
15,nan,nan,0.014741,7.50
16,nan,nan,0.014741,7.50
17,nan,nan,0.014741,7.50
18,nan,nan,0.014741,7.51
19,nan,nan,0.014741,7.50
20,nan,nan,0.014741,7.50
21,nan,nan,0.014741,7.50
22,nan,nan,0.014741,7.50
23,nan,nan,0.014741,7.52
24,nan,nan,0.014741,7.50
25,nan,nan,0.014741,7.50
26,nan,nan,0.014741,7.50
27,nan,nan,0.014741,7.50
28,nan,nan,0.014741,7.51
29,nan,nan,0.014741,7.50
30,nan,nan,0.014741,7.50
31,nan,nan,0.014741,7.50
32,nan,nan,0.014741,7.50
33,nan,nan,0.014741,7.54
34,nan,nan,0.014741,7.55
35,nan,nan,0.014741,7.54
36,nan,nan,0.014741,7.54
37,nan,nan,0.014741,7.54
38,nan,nan,0.014741,7.54
39,nan,nan,0.014741,7.55
40,nan,nan,0.014741,7.54
41,nan,nan,0.014741,7.54
42,nan,nan,0.014741,7.54
43,nan,nan,0.014741,7.54
44,nan,nan,0.014741,7.55
45,nan,nan,0.014741,7.54
46,nan,nan,0.014741,7.54
47,nan,nan,0.014741,7.54
48,nan,nan,0.014741,7.54
49,nan,nan,0.014741,7.54
50,nan,nan,0.014741,7.55
