epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,0.397726,0.330986,0.524371,25.82
2,0.330185,0.324874,0.535729,25.48
3,0.326238,0.326461,0.533752,25.46
4,0.323947,0.322794,0.540259,25.48
5,0.322766,0.320891,0.543892,25.48
6,0.321354,0.319417,0.545928,25.48
7,0.320838,0.319335,0.546267,25.47
8,0.320246,0.319282,0.546537,25.48
9,0.319926,0.319836,0.544940,25.47
10,0.319456,0.317994,0.548762,25.49
11,0.319438,0.319846,0.544960,25.47
12,0.318847,0.318229,0.548333,25.48
13,0.318557,0.318917,0.547126,25.48
14,0.318429,0.317972,0.548473,25.48
15,0.318099,0.318370,0.548224,25.46
16,0.317817,0.317381,0.549461,25.48
17,0.318017,0.317756,0.549591,25.47
18,0.317772,0.317580,0.549401,25.48
19,0.317382,0.317142,0.549920,25.48
20,0.317404,0.317244,0.550000,25.47
21,0.317327,0.317161,0.550200,25.47
22,0.317080,0.317349,0.549691,25.48
23,0.317228,0.317541,0.549741,25.47
24,0.317033,0.317318,0.549651,25.46
25,0.317097,0.317050,0.550050,25.48
26,0.316727,0.316919,0.550589,25.46
27,0.316606,0.317122,0.550509,25.46
28,0.316611,0.317224,0.550180,25.45
29,0.316639,0.317014,0.550798,25.46
30,0.316485,0.317325,0.550050,25.45
31,0.316820,0.317290,0.550369,25.46
32,0.316300,0.317203,0.550309,25.45
33,0.316093,0.317141,0.550609,25.45
34,0.316114,0.316946,0.551208,25.45
35,0.316130,0.317597,0.549860,25.45
36,0.315830,0.317262,0.550509,25.44
37,0.315796,0.317312,0.550938,25.45
38,0.315513,0.317542,0.550389,25.44
39,0.315382,0.317304,0.550719,25.45
40,0.315355,0.317431,0.551168,25.46
41,0.315223,0.317767,0.550868,25.44
42,0.315104,0.317498,0.550928,25.45
43,0.314815,0.317534,0.551267,25.45
44,0.314459,0.318103,0.551158,25.46
45,0.314189,0.318311,0.549840,25.45
46,0.313831,0.318567,0.550838,25.47
47,0.313616,0.318746,0.550808,25.45
48,0.312975,0.319229,0.550649,25.46
49,0.312617,0.319453,0.551427,25.46
50,0.312057,0.319337,0.551287,25.46
