epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.465106,2.105637,0.940040,26.62
2,2.107205,2.080277,0.951238,26.07
3,2.075277,2.054457,0.965848,26.07
4,2.052990,2.032146,0.981996,26.06
5,2.040402,2.028562,0.985908,26.05
6,2.032818,2.018941,0.989661,26.04
7,2.027886,2.023101,0.987066,26.05
8,2.024111,2.015827,0.991776,26.04
9,2.021422,2.018285,0.990319,26.05
10,2.019513,2.013903,0.993613,26.04
11,2.017517,2.011588,0.994691,26.05
12,2.016638,2.014414,0.993852,26.04
13,2.015022,2.011778,0.994910,26.05
14,2.013976,2.013637,0.993832,26.03
15,2.012534,2.014968,0.993293,26.03
16,2.011874,2.008699,0.996627,26.03
17,2.011278,2.008912,0.997206,26.04
18,2.009857,2.011009,0.996327,26.04
19,2.008852,2.010348,0.995190,26.05
20,2.008132,2.009922,0.996008,26.03
21,2.007686,2.008983,0.996786,26.05
22,2.006465,2.013742,0.994431,26.04
23,2.005905,2.009687,0.997345,26.03
24,2.004139,2.013102,0.994571,26.02
25,2.003526,2.010910,0.997086,26.05
26,2.002718,2.011722,0.996926,26.03
27,2.001196,2.014350,0.995689,26.05
28,2.000720,2.011282,0.997585,26.04
29,1.998037,2.012575,0.997625,26.05
30,1.997123,2.013483,0.997545,26.04
31,1.995053,2.014114,0.997904,26.05
32,1.993308,2.015370,0.997824,26.04
33,1.990600,2.019387,0.996267,26.05
34,1.987803,2.021016,0.997226,26.03
35,1.984503,2.027235,0.996747,26.05
36,1.980576,2.028700,0.997984,26.04
37,1.976114,2.033382,0.997385,26.05
38,1.970650,2.035349,0.998204,26.06
39,1.964251,2.041846,0.997445,26.16
40,1.957374,2.042864,0.998184,26.15
41,1.949154,2.057366,0.998244,26.15
42,1.939985,2.064711,0.998224,26.13
43,1.928440,2.077839,0.998184,26.13
44,1.915711,2.094683,0.997285,26.04
45,1.901559,2.099483,0.998303,26.13
46,1.886869,2.112077,0.998423,26.13
47,1.870446,2.135850,0.997665,26.14
48,1.852291,2.160247,0.997864,26.14
49,1.833151,2.181150,0.997625,26.16
50,1.813676,2.185864,0.998204,26.14
