epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.345020,2.167863,0.924251,57.75
2,2.163866,2.140660,0.929621,57.47
3,2.140692,2.126436,0.931936,57.50
4,2.125281,2.117636,0.932255,57.56
5,2.114342,2.104497,0.936487,57.57
6,2.110630,2.101819,0.936407,57.57
7,2.102512,2.093437,0.938004,57.57
8,2.095692,2.089102,0.941796,57.58
9,2.090650,2.084643,0.942275,57.59
10,2.088283,2.081398,0.943533,57.57
11,2.083301,2.078865,0.944491,57.59
12,2.079938,2.074150,0.946687,57.59
13,2.077192,2.073962,0.947305,57.58
14,2.076716,2.073342,0.948723,57.57
15,2.073728,2.072677,0.949760,57.56
16,2.072373,2.063311,0.954591,57.58
17,2.069499,2.063805,0.954271,57.59
18,2.067064,2.060521,0.956966,57.56
19,2.072105,2.071983,0.950439,57.57
20,2.071260,2.055047,0.962395,57.56
21,2.060775,2.051800,0.965349,57.53
22,2.055981,2.053271,0.964251,57.54
23,2.054366,2.046088,0.972236,57.56
24,2.047805,2.037200,0.977146,57.57
25,2.044677,2.037663,0.975389,57.53
26,2.043271,2.033393,0.979222,57.53
27,2.037483,2.027787,0.983513,57.53
