epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,2.340976,2.162958,0.926754,26.39
2,2.165047,2.147452,0.928983,26.11
3,2.146373,2.136311,0.930549,26.10
4,2.139699,2.121672,0.933902,26.09
5,2.133485,2.116562,0.936753,26.10
6,2.123317,2.110307,0.936352,26.08
7,2.118656,2.106073,0.938721,26.08
8,2.110102,2.100746,0.937396,26.07
9,2.106902,2.100226,0.939765,26.10
10,2.104247,2.086995,0.943379,26.09
11,2.098833,2.094170,0.939845,26.10
12,2.097495,2.086051,0.943379,26.10
13,2.091799,2.080031,0.946531,26.10
14,2.089573,2.087525,0.943459,26.07
15,2.089510,2.081019,0.944443,26.09
16,2.086388,2.078219,0.948278,26.08
17,2.079366,2.069101,0.950186,26.10
18,2.079008,2.078948,0.948339,26.07
19,2.077758,2.064619,0.954422,26.09
20,2.072256,2.071195,0.950969,26.10
21,2.073171,2.064380,0.954442,26.09
22,2.067325,2.059882,0.957996,26.09
23,2.064109,2.061742,0.957775,26.10
24,2.062266,2.055734,0.960647,26.08
25,2.061678,2.056623,0.960807,26.10
26,2.058620,2.049496,0.965405,26.08
27,2.057398,2.048888,0.966329,26.08
28,2.056078,2.050060,0.966068,26.07
29,2.056436,2.048010,0.966389,26.10
30,2.052154,2.046545,0.967313,26.07
