epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.608674,4.372230,0.000000,4.63
2,4.344807,4.296975,0.064000,3.53
3,4.303625,4.274358,0.143500,3.52
4,4.288432,4.264622,0.166500,3.53
5,4.280444,4.257622,0.221500,3.54
6,4.274216,4.251092,0.229500,3.55
7,4.268429,4.246092,0.240500,3.54
8,4.263878,4.241737,0.258500,3.54
9,4.260573,4.239062,0.262000,3.53
10,4.257381,4.236377,0.290500,3.52
11,4.254528,4.233827,0.311000,3.54
12,4.252714,4.231663,0.322000,3.53
13,4.250630,4.229951,0.299500,3.53
14,4.248851,4.228841,0.331500,3.54
15,4.247685,4.227084,0.290500,3.54
16,4.246296,4.225876,0.338000,3.53
17,4.244802,4.225087,0.328000,3.53
18,4.243784,4.223059,0.334500,3.55
19,4.242363,4.221957,0.396500,3.54
20,4.241517,4.221311,0.405500,3.53
21,4.240382,4.220760,0.389500,3.51
22,4.239411,4.219601,0.418000,3.54
23,4.238590,4.219090,0.423000,3.54
24,4.238364,4.217726,0.470000,3.54
25,4.237126,4.216948,0.483000,3.54
26,4.236780,4.216291,0.468500,3.53
27,4.235850,4.216063,0.485500,3.54
28,4.235204,4.215925,0.504000,3.53
29,4.234417,4.215265,0.453000,3.53
30,4.234008,4.214395,0.511000,3.53
