epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.775374,4.466897,0.000000,4.90
2,4.416217,4.352446,0.011500,4.52
3,4.350535,4.314358,0.027000,4.51
4,4.324211,4.294461,0.060500,4.50
5,4.310514,4.282802,0.084000,4.51
6,4.302231,4.275410,0.102000,4.51
7,4.296146,4.270703,0.136000,4.51
8,4.292151,4.267587,0.140500,4.51
9,4.289429,4.265349,0.132500,4.51
10,4.287305,4.262779,0.146500,4.50
11,4.285339,4.261429,0.186000,4.51
12,4.283658,4.259274,0.152000,4.51
13,4.281925,4.257472,0.181500,4.49
14,4.280529,4.256348,0.121500,4.50
15,4.278646,4.254791,0.161500,4.51
16,4.277275,4.253692,0.155500,4.51
17,4.276222,4.252245,0.177500,4.51
18,4.274683,4.251252,0.160000,4.51
19,4.273944,4.249603,0.192500,4.51
20,4.272837,4.249767,0.193500,4.51
21,4.271671,4.248937,0.158000,4.50
22,4.271101,4.249070,0.177500,4.51
23,4.270220,4.247177,0.206500,4.52
24,4.269510,4.247473,0.219000,4.52
25,4.268539,4.248128,0.215000,4.51
26,4.268337,4.246122,0.213000,4.50
27,4.267748,4.245994,0.233500,4.51
28,4.267011,4.244822,0.225000,4.50
29,4.266462,4.245136,0.214000,4.51
30,4.265959,4.243411,0.229500,4.51
