epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.483106,4.304760,0.047500,5.25
2,4.303553,4.271768,0.143000,3.45
3,4.283198,4.258474,0.177500,3.45
4,4.273634,4.251460,0.275500,3.45
5,4.267882,4.247310,0.271000,3.45
6,4.263035,4.242400,0.265500,3.45
7,4.258832,4.237883,0.335500,3.45
8,4.254864,4.235591,0.338500,3.45
9,4.252008,4.232326,0.358500,3.46
10,4.249408,4.229480,0.392000,3.45
11,4.247153,4.227811,0.400500,3.45
12,4.244918,4.226047,0.448000,3.45
13,4.242865,4.223242,0.522500,3.46
14,4.240798,4.221727,0.543000,3.45
15,4.239414,4.219651,0.577000,3.45
16,4.237208,4.217698,0.633000,3.45
17,4.235854,4.215528,0.702000,3.45
18,4.234425,4.214275,0.701000,3.46
19,4.232747,4.212619,0.721000,3.45
20,4.231416,4.212181,0.734500,3.45
21,4.230533,4.210174,0.758000,3.45
22,4.229097,4.209646,0.765000,3.45
23,4.228260,4.208884,0.794500,3.45
24,4.227262,4.207456,0.799000,3.45
25,4.226413,4.207019,0.788500,3.45
26,4.225481,4.206014,0.818000,3.45
27,4.224932,4.204901,0.820500,3.45
28,4.224325,4.204731,0.823500,3.45
29,4.223473,4.203970,0.840000,3.45
30,4.222953,4.203813,0.859000,3.45
31,4.222288,4.202721,0.852500,3.45
32,4.221800,4.202587,0.877000,3.45
33,4.221304,4.201946,0.868000,3.45
34,4.221015,4.202846,0.881500,3.45
35,4.220358,4.201399,0.872000,3.45
36,4.219858,4.201064,0.877500,3.45
37,4.219629,4.200415,0.865500,3.44
38,4.218879,4.200227,0.895500,3.45
39,4.218817,4.199967,0.893500,3.45
40,4.218437,4.199873,0.886500,3.45
41,4.218131,4.199734,0.911500,3.45
42,4.217909,4.199892,0.901500,3.45
43,4.217283,4.199329,0.915000,3.45
44,4.217248,4.199260,0.926000,3.45
45,4.216951,4.198172,0.905000,3.46
46,4.216629,4.198394,0.923500,3.46
47,4.216288,4.198664,0.901000,3.45
48,4.215948,4.198639,0.901000,3.45
49,4.215816,4.197535,0.918000,3.45
50,4.215525,4.197853,0.916500,3.45
