epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.899163,4.825441,0.509500,6.70
2,4.824917,4.820109,0.509500,4.74
3,4.821129,4.816654,0.511000,4.73
4,4.814073,4.817485,0.667500,4.72
5,4.810514,4.811310,0.836500,4.73
6,4.808621,4.813078,0.789000,4.72
7,4.807712,4.810456,0.607500,4.72
8,4.806547,4.812460,0.691500,4.73
9,4.805797,4.804720,0.938500,4.73
10,4.805144,4.806200,0.781000,4.73
11,4.804715,4.807298,0.777000,4.73
12,4.804281,4.808736,0.686500,4.73
13,4.803885,4.805471,0.902000,4.73
14,4.803666,4.807594,0.792500,4.73
15,4.803332,4.818390,0.599000,4.73
16,4.803281,4.803835,0.955000,4.73
17,4.803180,4.803947,0.936500,4.72
18,4.802932,4.809890,0.809500,4.73
19,4.802932,4.810360,0.768000,4.72
20,4.802756,4.806527,0.886000,4.72
21,4.802828,4.810107,0.800500,4.73
22,4.802682,4.806520,0.983000,4.73
23,4.802833,4.803878,0.959000,4.72
24,4.802272,4.804869,0.876500,4.72
25,4.802240,4.801539,0.982500,4.72
26,4.802062,4.803555,0.930000,4.73
27,4.801908,4.805331,0.886000,4.72
28,4.801918,4.802973,0.953500,4.73
29,4.801816,4.803755,0.933500,4.73
30,4.801889,4.804854,0.858000,4.72
31,4.801767,4.803349,0.967500,4.72
32,4.801771,4.802885,0.981000,4.72
33,4.801831,4.804868,0.929000,4.73
34,4.801679,4.803811,0.986500,4.72
35,4.801653,4.801329,0.978500,4.73
36,4.801848,4.805536,0.851000,4.73
37,4.801848,4.803402,0.956500,4.73
38,4.801821,4.804472,0.985000,4.72
39,4.801837,4.802696,0.981500,4.73
40,4.801761,4.805235,0.884000,4.73
41,4.801648,4.802560,0.983500,4.72
42,4.801608,4.803680,0.983500,4.72
43,4.801610,4.811646,0.800500,4.73
44,4.801721,4.803383,0.958000,4.72
45,4.801795,4.805318,0.905500,4.73
46,4.801672,4.801871,0.988500,4.72
47,4.801558,4.804225,0.949000,4.73
48,4.801675,4.805499,0.856000,4.72
49,4.801716,4.809444,0.835000,4.73
50,4.801700,4.802595,0.984500,4.73
