epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.311311,4.224747,0.557000,4.71
2,4.234059,4.205192,0.926500,3.59
3,4.220613,4.199139,0.978500,3.59
4,4.214652,4.196469,0.994500,3.58
5,4.211039,4.195243,0.999000,3.60
6,4.208613,4.194028,0.999500,3.59
7,4.207150,4.192644,0.999500,3.58
8,4.205982,4.191314,0.996500,3.59
9,4.204651,4.192433,0.996000,3.58
10,4.203249,4.191819,0.998500,3.59
11,4.202653,4.192190,0.981500,3.58
12,4.201929,4.191028,0.998500,3.58
13,4.200418,4.191792,0.992000,3.58
14,4.199506,4.190859,0.997500,3.57
15,4.198681,4.192286,1.000000,3.57
16,4.197337,4.190714,1.000000,3.56
17,4.196319,4.193080,0.999500,3.57
18,4.194837,4.192064,1.000000,3.57
19,4.193422,4.193606,1.000000,3.57
20,4.191851,4.193890,0.993000,3.57
21,4.190204,4.195697,0.998500,3.57
22,4.188314,4.197074,0.999000,3.57
23,4.186693,4.198270,0.999000,3.57
24,4.184651,4.199061,0.999000,3.58
25,4.182367,4.200313,1.000000,3.57
26,4.180241,4.201273,1.000000,3.58
27,4.177845,4.204036,1.000000,3.57
28,4.175532,4.205231,0.998000,3.57
29,4.173143,4.208291,1.000000,3.57
30,4.170635,4.210102,1.000000,3.57
